work_order_id,site_id,alarm_id,created_at,scheduled_at,completed_at,order_type,priority,order_status,provider_code,downtime_minutes,cost_clp,sla_target_hours
OT-00085,SIT-0049,ALM-000253,2026-08-02 04:40:36,2026-08-02 10:40:36,,Preventiva,P1,Creada,PRV-05,343,264271.23,2
OT-00086,SIT-0056,ALM-000256,2026-08-02 05:01:05,2026-08-02 11:01:05,,Correctiva,P2,Asignada,PRV-01,390,496700.38,8
OT-00087,SIT-0003,ALM-000259,2026-08-02 05:21:34,2026-08-02 11:21:34,,Correctiva,P2,En terreno,PRV-02,437,380746.18,8
OT-00088,SIT-0010,ALM-000262,2026-08-02 05:42:03,2026-08-02 11:42:03,2026-08-04 09:42:03,Emergencia,P3,Completada,PRV-03,484,261607.96,24
OT-00089,SIT-0017,ALM-000265,2026-08-02 06:02:32,2026-08-02 12:02:32,2026-08-02 21:02:32,Preventiva,P3,Completada,PRV-04,531,150953.63,24
OT-00090,SIT-0024,ALM-000268,2026-08-02 06:23:01,2026-08-02 12:23:01,,Correctiva,P4,Cancelada,PRV-05,578,283890.12,72
OT-00091,SIT-0031,ALM-000271,2026-08-02 06:43:30,2026-08-02 12:43:30,,Correctiva,P1,Creada,PRV-01,625,145359.51,2
OT-00092,SIT-0038,ALM-000274,2026-08-02 07:03:59,2026-08-02 13:03:59,,Emergencia,P2,Asignada,PRV-02,672,992323.88,8
OT-00093,SIT-0045,ALM-000277,2026-08-02 07:24:28,2026-08-02 13:24:28,,Preventiva,P2,En terreno,PRV-03,719,801338.15,8
OT-00094,SIT-0052,,2026-08-02 07:44:57,2026-08-02 13:44:57,2026-08-03 05:44:57,Correctiva,P3,Completada,PRV-04,45,1070785.27,24
OT-00095,SIT-0059,,2026-08-02 08:05:26,2026-08-02 14:05:26,2026-08-03 17:05:26,Correctiva,P3,Completada,PRV-05,92,207752.98,24
OT-00096,SIT-0006,,2026-08-02 08:25:55,2026-08-02 14:25:55,,Emergencia,P4,Cancelada,PRV-01,139,279148.79,72
OT-00097,SIT-0013,,2026-08-02 08:46:24,2026-08-02 14:46:24,,Preventiva,P1,Creada,PRV-02,186,228776.29,2
OT-00098,SIT-0020,,2026-08-02 09:06:53,2026-08-02 15:06:53,,Correctiva,P2,Asignada,PRV-03,233,323402.09,8
OT-00099,SIT-0027,,2026-08-02 09:27:22,2026-08-02 15:27:22,,Correctiva,P2,En terreno,PRV-04,280,394311.44,8
OT-00100,SIT-0034,,2026-08-02 09:47:51,2026-08-02 15:47:51,2026-08-04 01:47:51,Emergencia,P3,Completada,PRV-05,327,306633.78,24
OT-00101,SIT-0041,ALM-000301,2026-08-02 10:08:20,2026-08-02 16:08:20,2026-08-04 13:08:20,Preventiva,P3,Completada,PRV-01,374,2461758.82,24
OT-00102,SIT-0048,ALM-000304,2026-08-02 10:28:49,2026-08-02 16:28:49,,Correctiva,P4,Cancelada,PRV-02,421,213512.04,72
OT-00103,SIT-0055,ALM-000307,2026-08-02 10:49:18,2026-08-02 16:49:18,,Correctiva,P1,Creada,PRV-03,468,636108.17,2
OT-00104,SIT-0002,ALM-000310,2026-08-02 11:09:47,2026-08-02 17:09:47,,Emergencia,P2,Asignada,PRV-04,515,159741.76,8
OT-00105,SIT-0009,ALM-000313,2026-08-02 11:30:16,2026-08-02 17:30:16,,Preventiva,P2,En terreno,PRV-05,562,816254.54,8
OT-00106,SIT-0016,ALM-000316,2026-08-02 11:50:45,2026-08-02 17:50:45,2026-08-02 21:50:45,Correctiva,P3,Completada,PRV-01,609,139535.36,24
OT-00107,SIT-0023,ALM-000319,2026-08-02 12:11:14,2026-08-02 18:11:14,2026-08-03 09:11:14,Correctiva,P3,Completada,PRV-02,656,159170.74,24
OT-00108,SIT-0030,ALM-000322,2026-08-02 12:31:43,2026-08-02 18:31:43,,Emergencia,P4,Cancelada,PRV-03,703,839753.81,72
OT-00109,SIT-0037,ALM-000325,2026-08-02 12:52:12,2026-08-02 18:52:12,,Preventiva,P1,Creada,PRV-04,29,429256.67,2
OT-00110,SIT-0044,ALM-000328,2026-08-02 13:12:41,2026-08-02 19:12:41,,Correctiva,P2,Asignada,PRV-05,76,141057.36,8
OT-00111,SIT-0051,ALM-000331,2026-08-02 13:33:10,2026-08-02 19:33:10,,Correctiva,P2,En terreno,PRV-01,123,241885.62,8
OT-00112,SIT-0058,ALM-000334,2026-08-02 13:53:39,2026-08-02 19:53:39,2026-08-03 17:53:39,Emergencia,P3,Completada,PRV-02,170,252419.27,24
OT-00113,SIT-0005,ALM-000337,2026-08-02 14:14:08,2026-08-02 20:14:08,2026-08-04 05:14:08,Preventiva,P3,Completada,PRV-03,217,1882316.52,24
OT-00114,SIT-0012,,2026-08-02 14:34:37,2026-08-02 20:34:37,,Correctiva,P4,Cancelada,PRV-04,264,995778.33,72
OT-00115,SIT-0019,,2026-08-02 14:55:06,2026-08-02 20:55:06,,Correctiva,P1,Creada,PRV-05,311,474853.56,2
OT-00116,SIT-0026,,2026-08-02 15:15:35,2026-08-02 21:15:35,,Emergencia,P2,Asignada,PRV-01,358,376323.37,8
OT-00117,SIT-0033,,2026-08-02 15:36:04,2026-08-02 21:36:04,,Preventiva,P2,En terreno,PRV-02,405,2636461.84,8
OT-00118,SIT-0040,,2026-08-02 15:56:33,2026-08-02 21:56:33,2026-08-04 13:56:33,Correctiva,P3,Completada,PRV-03,452,2882673.62,24
OT-00119,SIT-0047,,2026-08-02 16:17:02,2026-08-02 22:17:02,2026-08-03 01:17:02,Correctiva,P3,Completada,PRV-04,499,1744490.73,24
OT-00120,SIT-0054,,2026-08-02 16:37:31,2026-08-02 22:37:31,,Emergencia,P4,Cancelada,PRV-05,546,531341.50,72
OT-00121,SIT-0001,ALM-000361,2026-08-02 16:58:00,2026-08-02 22:58:00,,Preventiva,P1,Creada,PRV-01,593,522707.96,2
OT-00122,SIT-0008,ALM-000364,2026-08-02 17:18:29,2026-08-02 23:18:29,,Correctiva,P2,Asignada,PRV-02,640,320603.24,8
OT-00123,SIT-0015,ALM-000367,2026-08-02 17:38:58,2026-08-02 23:38:58,,Correctiva,P2,En terreno,PRV-03,687,144630.92,8
OT-00124,SIT-0022,ALM-000370,2026-08-02 17:59:27,2026-08-02 23:59:27,2026-08-03 09:59:27,Emergencia,P3,Completada,PRV-04,13,1292010.07,24
OT-00125,SIT-0029,ALM-000373,2026-08-02 18:19:56,2026-08-03 00:19:56,2026-08-03 21:19:56,Preventiva,P3,Completada,PRV-05,60,236246.04,24
OT-00126,SIT-0036,ALM-000376,2026-08-02 18:40:25,2026-08-03 00:40:25,,Correctiva,P4,Cancelada,PRV-01,107,1560492.67,72
OT-00127,SIT-0043,ALM-000379,2026-08-02 19:00:54,2026-08-03 01:00:54,,Correctiva,P1,Creada,PRV-02,154,781786.51,2
OT-00128,SIT-0050,ALM-000382,2026-08-02 19:21:23,2026-08-03 01:21:23,,Emergencia,P2,Asignada,PRV-03,201,393671.71,8
OT-00129,SIT-0057,ALM-000385,2026-08-02 19:41:52,2026-08-03 01:41:52,,Preventiva,P2,En terreno,PRV-04,248,146075.39,8
OT-00130,SIT-0004,ALM-000388,2026-08-02 20:02:21,2026-08-03 02:02:21,2026-08-04 06:02:21,Correctiva,P3,Completada,PRV-05,295,2462513.17,24
OT-00131,SIT-0011,ALM-000391,2026-08-02 20:22:50,2026-08-03 02:22:50,2026-08-04 17:22:50,Correctiva,P3,Completada,PRV-01,342,171926.28,24
OT-00132,SIT-0018,ALM-000394,2026-08-02 20:43:19,2026-08-03 02:43:19,,Emergencia,P4,Cancelada,PRV-02,389,1917117.04,72
OT-00133,SIT-0025,ALM-000397,2026-08-02 21:03:48,2026-08-03 03:03:48,,Preventiva,P1,Creada,PRV-03,436,680899.37,2
OT-00134,SIT-0032,,2026-08-02 21:24:17,2026-08-03 03:24:17,,Correctiva,P2,Asignada,PRV-04,483,395807.17,8
OT-00135,SIT-0039,,2026-08-02 21:44:46,2026-08-03 03:44:46,,Correctiva,P2,En terreno,PRV-05,530,410828.71,8
OT-00136,SIT-0046,,2026-08-02 22:05:15,2026-08-03 04:05:15,2026-08-05 02:05:15,Emergencia,P3,Completada,PRV-01,577,201734.64,24
OT-00137,SIT-0053,,2026-08-02 22:25:44,2026-08-03 04:25:44,2026-08-03 13:25:44,Preventiva,P3,Completada,PRV-02,624,415430.68,24
OT-00138,SIT-0060,,2026-08-02 22:46:13,2026-08-03 04:46:13,,Correctiva,P4,Cancelada,PRV-03,671,684631.43,72
OT-00139,SIT-0007,,2026-08-02 23:06:42,2026-08-03 05:06:42,,Correctiva,P1,Creada,PRV-04,718,156287.35,2
OT-00140,SIT-0014,,2026-08-02 23:27:11,2026-08-03 05:27:11,,Emergencia,P2,Asignada,PRV-05,44,286591.70,8
OT-00141,SIT-0021,ALM-000421,2026-08-02 23:47:40,2026-08-03 05:47:40,,Preventiva,P2,En terreno,PRV-01,91,1087396.51,8
OT-00142,SIT-0028,ALM-000424,2026-08-03 00:08:09,2026-08-03 06:08:09,2026-08-03 22:08:09,Correctiva,P3,Completada,PRV-02,138,150311.60,24
OT-00143,SIT-0035,ALM-000427,2026-08-03 00:28:38,2026-08-03 06:28:38,2026-08-04 09:28:38,Correctiva,P3,Completada,PRV-03,185,818838.46,24
OT-00144,SIT-0042,ALM-000430,2026-08-03 00:49:07,2026-08-03 06:49:07,,Emergencia,P4,Cancelada,PRV-04,232,1468222.19,72
OT-00145,SIT-0049,ALM-000433,2026-08-03 01:09:36,2026-08-03 07:09:36,,Preventiva,P1,Creada,PRV-05,279,261456.67,2
OT-00146,SIT-0056,ALM-000436,2026-08-03 01:30:05,2026-08-03 07:30:05,,Correctiva,P2,Asignada,PRV-01,326,830250.29,8
OT-00147,SIT-0003,ALM-000439,2026-08-03 01:50:34,2026-08-03 07:50:34,,Correctiva,P2,En terreno,PRV-02,373,819843.68,8
OT-00148,SIT-0010,ALM-000442,2026-08-03 02:11:03,2026-08-03 08:11:03,2026-08-04 18:11:03,Emergencia,P3,Completada,PRV-03,420,195584.82,24
OT-00149,SIT-0017,ALM-000445,2026-08-03 02:31:32,2026-08-03 08:31:32,2026-08-05 05:31:32,Preventiva,P3,Completada,PRV-04,467,494945.07,24
OT-00150,SIT-0024,ALM-000448,2026-08-03 02:52:01,2026-08-03 08:52:01,,Correctiva,P4,Cancelada,PRV-05,514,994242.63,72
OT-00151,SIT-0031,ALM-000451,2026-08-03 03:12:30,2026-08-03 09:12:30,,Correctiva,P1,Creada,PRV-01,561,1266166.55,2
OT-00152,SIT-0038,ALM-000454,2026-08-03 03:32:59,2026-08-03 09:32:59,,Emergencia,P2,Asignada,PRV-02,608,186132.69,8
OT-00153,SIT-0045,ALM-000457,2026-08-03 03:53:28,2026-08-03 09:53:28,,Preventiva,P2,En terreno,PRV-03,655,2106939.80,8
OT-00154,SIT-0052,,2026-08-03 04:13:57,2026-08-03 10:13:57,2026-08-03 14:13:57,Correctiva,P3,Completada,PRV-04,702,191665.92,24
OT-00155,SIT-0059,,2026-08-03 04:34:26,2026-08-03 10:34:26,2026-08-04 01:34:26,Correctiva,P3,Completada,PRV-05,28,358324.54,24
OT-00156,SIT-0006,,2026-08-03 04:54:55,2026-08-03 10:54:55,,Emergencia,P4,Cancelada,PRV-01,75,368430.11,72
OT-00157,SIT-0013,,2026-08-03 05:15:24,2026-08-03 11:15:24,,Preventiva,P1,Creada,PRV-02,122,436857.98,2
OT-00158,SIT-0020,,2026-08-03 05:35:53,2026-08-03 11:35:53,,Correctiva,P2,Asignada,PRV-03,169,278854.22,8
OT-00159,SIT-0027,,2026-08-03 05:56:22,2026-08-03 11:56:22,,Correctiva,P2,En terreno,PRV-04,216,173731.17,8
OT-00160,SIT-0034,,2026-08-03 06:16:51,2026-08-03 12:16:51,2026-08-04 10:16:51,Emergencia,P3,Completada,PRV-05,263,1011640.99,24
OT-00161,SIT-0041,ALM-000481,2026-08-03 06:37:20,2026-08-03 12:37:20,2026-08-04 21:37:20,Preventiva,P3,Completada,PRV-01,310,3006267.31,24
OT-00162,SIT-0048,ALM-000484,2026-08-03 06:57:49,2026-08-03 12:57:49,,Correctiva,P4,Cancelada,PRV-02,357,179568.41,72
OT-00163,SIT-0055,ALM-000487,2026-08-03 07:18:18,2026-08-03 13:18:18,,Correctiva,P1,Creada,PRV-03,404,270941.97,2
OT-00164,SIT-0002,ALM-000490,2026-08-03 07:38:47,2026-08-03 13:38:47,,Emergencia,P2,Asignada,PRV-04,451,614059.87,8
OT-00165,SIT-0009,ALM-000493,2026-08-03 07:59:16,2026-08-03 13:59:16,,Preventiva,P2,En terreno,PRV-05,498,2069348.55,8
OT-00166,SIT-0016,ALM-000496,2026-08-03 08:19:45,2026-08-03 14:19:45,2026-08-05 06:19:45,Correctiva,P3,Completada,PRV-01,545,370654.07,24
OT-00167,SIT-0023,ALM-000499,2026-08-03 08:40:14,2026-08-03 14:40:14,2026-08-03 17:40:14,Correctiva,P3,Completada,PRV-02,592,514310.28,24
OT-00168,SIT-0030,ALM-000502,2026-08-03 09:00:43,2026-08-03 15:00:43,,Emergencia,P4,Cancelada,PRV-03,639,172785.62,72
OT-00169,SIT-0037,ALM-000505,2026-08-03 09:21:12,2026-08-03 15:21:12,,Preventiva,P1,Creada,PRV-04,686,2798633.26,2
OT-00170,SIT-0044,ALM-000508,2026-08-03 09:41:41,2026-08-03 15:41:41,,Correctiva,P2,Asignada,PRV-05,12,852619.41,8
OT-00171,SIT-0051,ALM-000511,2026-08-03 10:02:10,2026-08-03 16:02:10,,Correctiva,P2,En terreno,PRV-01,59,488068.27,8
OT-00172,SIT-0058,ALM-000514,2026-08-03 10:22:39,2026-08-03 16:22:39,2026-08-04 02:22:39,Emergencia,P3,Completada,PRV-02,106,1761628.82,24
OT-00173,SIT-0005,ALM-000517,2026-08-03 10:43:08,2026-08-03 16:43:08,2026-08-04 13:43:08,Preventiva,P3,Completada,PRV-03,153,210636.12,24
OT-00174,SIT-0012,,2026-08-03 11:03:37,2026-08-03 17:03:37,,Correctiva,P4,Cancelada,PRV-04,200,269901.26,72
OT-00175,SIT-0019,,2026-08-03 11:24:06,2026-08-03 17:24:06,,Correctiva,P1,Creada,PRV-05,247,218463.33,2
OT-00176,SIT-0026,,2026-08-03 11:44:35,2026-08-03 17:44:35,,Emergencia,P2,Asignada,PRV-01,294,150199.30,8
OT-00177,SIT-0033,,2026-08-03 12:05:04,2026-08-03 18:05:04,,Preventiva,P2,En terreno,PRV-02,341,223198.01,8
