cell_id,site_id,sector_number,azimuth_degrees,technology,frequency_band,bandwidth_mhz,capacity_users,vendor_family,cell_status
CEL-00032,SIT-0011,2,120,5G,n78-3500,100,3284,Proveedor C,Activa
CEL-00033,SIT-0011,3,240,5G,n78-3500,100,3321,Proveedor C,Activa
CEL-00034,SIT-0012,1,1,4G,B3-1800,15,1493,Proveedor A,Activa
CEL-00035,SIT-0012,2,121,4G,B7-2600,20,1575,Proveedor A,Activa
CEL-00036,SIT-0012,3,241,4G,B7-2600,20,1612,Proveedor A,Activa
CEL-00037,SIT-0013,1,2,4G,B3-1800,15,1604,Proveedor B,Activa
CEL-00038,SIT-0013,2,122,5G,n78-3500,100,3506,Proveedor B,Activa
CEL-00039,SIT-0013,3,242,5G,n78-3500,100,3543,Proveedor B,Activa
CEL-00040,SIT-0014,1,3,4G,B3-1800,15,1715,Proveedor C,Activa
CEL-00041,SIT-0014,2,123,5G,n78-3500,100,3117,Proveedor C,Activa
CEL-00042,SIT-0014,3,243,5G,n78-3500,100,3154,Proveedor C,Activa
CEL-00043,SIT-0015,1,4,4G,B28-700,10,1281,Proveedor A,Activa
CEL-00044,SIT-0015,2,124,4G,B28-700,10,1318,Proveedor A,Activa
CEL-00045,SIT-0015,3,244,4G,B28-700,10,1355,Proveedor A,Activa
CEL-00046,SIT-0016,1,5,4G,B3-1800,15,1437,Proveedor B,Activa
CEL-00047,SIT-0016,2,125,5G,n28-700,40,2799,Proveedor B,Mantenimiento
CEL-00048,SIT-0016,3,245,5G,n28-700,40,2836,Proveedor B,Activa
CEL-00049,SIT-0017,1,6,4G,B3-1800,15,1548,Proveedor C,Activa
CEL-00050,SIT-0017,2,126,5G,n78-3500,100,3450,Proveedor C,Activa
CEL-00051,SIT-0017,3,246,5G,n78-3500,100,3487,Proveedor C,Activa
CEL-00052,SIT-0018,1,7,4G,B3-1800,15,1659,Proveedor A,Activa
CEL-00053,SIT-0018,2,127,4G,B7-2600,20,1741,Proveedor A,Activa
CEL-00054,SIT-0018,3,247,4G,B7-2600,20,1778,Proveedor A,Activa
CEL-00055,SIT-0019,1,8,4G,B3-1800,15,1270,Proveedor B,Activa
CEL-00056,SIT-0019,2,128,5G,n78-3500,100,3172,Proveedor B,Activa
CEL-00057,SIT-0019,3,248,5G,n78-3500,100,3209,Proveedor B,Activa
CEL-00058,SIT-0020,1,9,4G,B28-700,10,1336,Proveedor C,Activa
CEL-00059,SIT-0020,2,129,5G,n28-700,40,2743,Proveedor C,Activa
CEL-00060,SIT-0020,3,249,5G,n28-700,40,2780,Proveedor C,Activa
CEL-00061,SIT-0021,1,10,4G,B3-1800,15,1492,Proveedor A,Activa
CEL-00062,SIT-0021,2,130,4G,B7-2600,20,1574,Proveedor A,Activa
CEL-00063,SIT-0021,3,250,4G,B7-2600,20,1611,Proveedor A,Activa
CEL-00064,SIT-0022,1,0,4G,B3-1800,15,1603,Proveedor B,Activa
CEL-00065,SIT-0022,2,120,5G,n78-3500,100,3505,Proveedor B,Activa
CEL-00066,SIT-0022,3,240,5G,n78-3500,100,3542,Proveedor B,Activa
CEL-00067,SIT-0023,1,1,4G,B3-1800,15,1714,Proveedor C,Activa
CEL-00068,SIT-0023,2,121,5G,n78-3500,100,3116,Proveedor C,Activa
CEL-00069,SIT-0023,3,241,5G,n78-3500,100,3153,Proveedor C,Activa
CEL-00070,SIT-0024,1,2,4G,B3-1800,15,1325,Proveedor A,Activa
CEL-00071,SIT-0024,2,122,4G,B7-2600,20,1407,Proveedor A,Activa
CEL-00072,SIT-0024,3,242,4G,B7-2600,20,1444,Proveedor A,Activa
CEL-00073,SIT-0025,1,3,4G,B28-700,10,1391,Proveedor B,Activa
CEL-00074,SIT-0025,2,123,5G,n78-3500,100,3338,Proveedor B,Activa
CEL-00075,SIT-0025,3,243,5G,n78-3500,100,3375,Proveedor B,Activa
CEL-00076,SIT-0026,1,4,4G,B3-1800,15,1547,Proveedor C,Activa
CEL-00077,SIT-0026,2,124,5G,n78-3500,100,3449,Proveedor C,Activa
CEL-00078,SIT-0026,3,244,5G,n78-3500,100,3486,Proveedor C,Activa
CEL-00079,SIT-0027,1,5,4G,B3-1800,15,1658,Proveedor A,Activa
CEL-00080,SIT-0027,2,125,4G,B7-2600,20,1740,Proveedor A,Activa
CEL-00081,SIT-0027,3,245,4G,B7-2600,20,1777,Proveedor A,Activa
CEL-00082,SIT-0028,1,6,4G,B3-1800,15,1269,Proveedor B,Activa
CEL-00083,SIT-0028,2,126,5G,n28-700,40,2631,Proveedor B,Activa
CEL-00084,SIT-0028,3,246,5G,n28-700,40,2668,Proveedor B,Activa
CEL-00085,SIT-0029,1,7,4G,B3-1800,15,1380,Proveedor C,Activa
CEL-00086,SIT-0029,2,127,5G,n78-3500,100,3282,Proveedor C,Activa
CEL-00087,SIT-0029,3,247,5G,n78-3500,100,3319,Proveedor C,Activa
CEL-00088,SIT-0030,1,8,4G,B28-700,10,1446,Proveedor A,Activa
CEL-00089,SIT-0030,2,128,4G,B28-700,10,1483,Proveedor A,Fuera de servicio
CEL-00090,SIT-0030,3,248,4G,B28-700,10,1520,Proveedor A,Activa
CEL-00091,SIT-0031,1,9,4G,B3-1800,15,1602,Proveedor B,Activa
CEL-00092,SIT-0031,2,129,5G,n78-3500,100,3504,Proveedor B,Activa
CEL-00093,SIT-0031,3,249,5G,n78-3500,100,3541,Proveedor B,Activa
CEL-00094,SIT-0032,1,10,4G,B3-1800,15,1713,Proveedor C,Mantenimiento
CEL-00095,SIT-0032,2,130,5G,n28-700,40,2575,Proveedor C,Activa
CEL-00096,SIT-0032,3,250,5G,n28-700,40,2612,Proveedor C,Activa
CEL-00097,SIT-0033,1,0,4G,B3-1800,15,1324,Proveedor A,Activa
CEL-00098,SIT-0033,2,120,4G,B7-2600,20,1406,Proveedor A,Activa
CEL-00099,SIT-0033,3,240,4G,B7-2600,20,1443,Proveedor A,Activa
CEL-00100,SIT-0034,1,1,4G,B3-1800,15,1435,Proveedor B,Activa
CEL-00101,SIT-0034,2,121,5G,n78-3500,100,3337,Proveedor B,Activa
CEL-00102,SIT-0034,3,241,5G,n78-3500,100,3374,Proveedor B,Activa
CEL-00103,SIT-0035,1,2,4G,B28-700,10,1501,Proveedor C,Activa
CEL-00104,SIT-0035,2,122,5G,n78-3500,100,3448,Proveedor C,Activa
CEL-00105,SIT-0035,3,242,5G,n78-3500,100,3485,Proveedor C,Activa
CEL-00106,SIT-0036,1,3,4G,B3-1800,15,1657,Proveedor A,Activa
CEL-00107,SIT-0036,2,123,4G,B7-2600,20,1739,Proveedor A,Activa
CEL-00108,SIT-0036,3,243,4G,B7-2600,20,1776,Proveedor A,Activa
CEL-00109,SIT-0037,1,4,4G,B3-1800,15,1268,Proveedor B,Activa
CEL-00110,SIT-0037,2,124,5G,n78-3500,100,3170,Proveedor B,Activa
CEL-00111,SIT-0037,3,244,5G,n78-3500,100,3207,Proveedor B,Activa
CEL-00112,SIT-0038,1,5,4G,B3-1800,15,1379,Proveedor C,Activa
CEL-00113,SIT-0038,2,125,5G,n78-3500,100,3281,Proveedor C,Activa
CEL-00114,SIT-0038,3,245,5G,n78-3500,100,3318,Proveedor C,Activa
CEL-00115,SIT-0039,1,6,4G,B3-1800,15,1490,Proveedor A,Activa
CEL-00116,SIT-0039,2,126,4G,B7-2600,20,1572,Proveedor A,Activa
CEL-00117,SIT-0039,3,246,4G,B7-2600,20,1609,Proveedor A,Activa
CEL-00118,SIT-0040,1,7,4G,B28-700,10,1556,Proveedor B,Activa
CEL-00119,SIT-0040,2,127,5G,n28-700,40,2963,Proveedor B,Activa
CEL-00120,SIT-0040,3,247,5G,n28-700,40,3000,Proveedor B,Activa
CEL-00121,SIT-0041,1,8,4G,B3-1800,15,1712,Proveedor C,Activa
CEL-00122,SIT-0041,2,128,5G,n78-3500,100,3114,Proveedor C,Activa
CEL-00123,SIT-0041,3,248,5G,n78-3500,100,3151,Proveedor C,Activa
CEL-00124,SIT-0042,1,9,4G,B3-1800,15,1323,Proveedor A,Activa
CEL-00125,SIT-0042,2,129,4G,B7-2600,20,1405,Proveedor A,Activa
CEL-00126,SIT-0042,3,249,4G,B7-2600,20,1442,Proveedor A,Activa
CEL-00127,SIT-0043,1,10,4G,B3-1800,15,1434,Proveedor B,Activa
CEL-00128,SIT-0043,2,130,5G,n78-3500,100,3336,Proveedor B,Activa
CEL-00129,SIT-0043,3,250,5G,n78-3500,100,3373,Proveedor B,Activa
CEL-00130,SIT-0044,1,0,4G,B3-1800,15,1545,Proveedor C,Activa
CEL-00131,SIT-0044,2,120,5G,n28-700,40,2907,Proveedor C,Activa
CEL-00132,SIT-0044,3,240,5G,n28-700,40,2944,Proveedor C,Activa
CEL-00133,SIT-0045,1,1,4G,B28-700,10,1611,Proveedor A,Activa
CEL-00134,SIT-0045,2,121,4G,B28-700,10,1648,Proveedor A,Activa
CEL-00135,SIT-0045,3,241,4G,B28-700,10,1685,Proveedor A,Activa
CEL-00136,SIT-0046,1,2,4G,B3-1800,15,1267,Proveedor B,Activa
CEL-00137,SIT-0046,2,122,5G,n78-3500,100,3169,Proveedor B,Activa
CEL-00138,SIT-0046,3,242,5G,n78-3500,100,3206,Proveedor B,Activa
CEL-00139,SIT-0047,1,3,4G,B3-1800,15,1378,Proveedor C,Activa
CEL-00140,SIT-0047,2,123,5G,n78-3500,100,3280,Proveedor C,Activa
CEL-00141,SIT-0047,3,243,5G,n78-3500,100,3317,Proveedor C,Mantenimiento
CEL-00142,SIT-0048,1,4,4G,B3-1800,15,1489,Proveedor A,Activa
CEL-00143,SIT-0048,2,124,4G,B7-2600,20,1571,Proveedor A,Activa
CEL-00144,SIT-0048,3,244,4G,B7-2600,20,1608,Proveedor A,Activa
CEL-00145,SIT-0049,1,5,4G,B3-1800,15,1600,Proveedor B,Activa
CEL-00146,SIT-0049,2,125,5G,n78-3500,100,3502,Proveedor B,Activa
CEL-00147,SIT-0049,3,245,5G,n78-3500,100,3539,Proveedor B,Activa
CEL-00148,SIT-0050,1,6,4G,B28-700,10,1666,Proveedor C,Activa
CEL-00149,SIT-0050,2,126,5G,n78-3500,100,3113,Proveedor C,Activa
CEL-00150,SIT-0050,3,246,5G,n78-3500,100,3150,Proveedor C,Activa
CEL-00151,SIT-0051,1,7,4G,B3-1800,15,1322,Proveedor A,Activa
CEL-00152,SIT-0051,2,127,4G,B7-2600,20,1404,Proveedor A,Activa
CEL-00153,SIT-0051,3,247,4G,B7-2600,20,1441,Proveedor A,Activa
CEL-00154,SIT-0052,1,8,4G,B3-1800,15,1433,Proveedor B,Activa
CEL-00155,SIT-0052,2,128,5G,n28-700,40,2795,Proveedor B,Activa
CEL-00156,SIT-0052,3,248,5G,n28-700,40,2832,Proveedor B,Activa
CEL-00157,SIT-0053,1,9,4G,B3-1800,15,1544,Proveedor C,Activa
CEL-00158,SIT-0053,2,129,5G,n78-3500,100,3446,Proveedor C,Activa
CEL-00159,SIT-0053,3,249,5G,n78-3500,100,3483,Proveedor C,Activa
CEL-00160,SIT-0054,1,10,4G,B3-1800,15,1655,Proveedor A,Activa
CEL-00161,SIT-0054,2,130,4G,B7-2600,20,1737,Proveedor A,Activa
CEL-00162,SIT-0054,3,250,4G,B7-2600,20,1774,Proveedor A,Activa
CEL-00163,SIT-0055,1,0,4G,B28-700,10,1221,Proveedor B,Activa
CEL-00164,SIT-0055,2,120,5G,n78-3500,100,3168,Proveedor B,Activa
CEL-00165,SIT-0055,3,240,5G,n78-3500,100,3205,Proveedor B,Activa
CEL-00166,SIT-0056,1,1,4G,B3-1800,15,1377,Proveedor C,Activa
CEL-00167,SIT-0056,2,121,5G,n28-700,40,2739,Proveedor C,Activa
CEL-00168,SIT-0056,3,241,5G,n28-700,40,2776,Proveedor C,Activa
CEL-00169,SIT-0057,1,2,4G,B3-1800,15,1488,Proveedor A,Activa
CEL-00170,SIT-0057,2,122,4G,B7-2600,20,1570,Proveedor A,Activa
CEL-00171,SIT-0057,3,242,4G,B7-2600,20,1607,Proveedor A,Activa
CEL-00172,SIT-0058,1,3,4G,B3-1800,15,1599,Proveedor B,Activa
CEL-00173,SIT-0058,2,123,5G,n78-3500,100,3501,Proveedor B,Activa
CEL-00174,SIT-0058,3,243,5G,n78-3500,100,3538,Proveedor B,Activa
CEL-00175,SIT-0059,1,4,4G,B3-1800,15,1710,Proveedor C,Activa
CEL-00176,SIT-0059,2,124,5G,n78-3500,100,3112,Proveedor C,Activa
CEL-00177,SIT-0059,3,244,5G,n78-3500,100,3149,Proveedor C,Activa
CEL-00178,SIT-0060,1,5,4G,B28-700,10,1276,Proveedor A,Fuera de servicio
CEL-00179,SIT-9999,2,125,4G,B28-700,10,1313,Proveedor A,Activa
CEL-00180,SIT-0060,3,245,5G,B7-2600,10,1350,Proveedor A,Activa
