measurement_id,cell_id,event_ts,availability_pct,signal_strength_dbm,sinr_db,latency_ms,downlink_mbps,uplink_mbps,packet_loss_pct,dropped_calls,active_users,data_traffic_gb,ingestion_batch_id
MED-00000018,CEL-00018,2026-08-01 00:00:00,99.981,-89.04,19.02,61.31,71.35,9.59,0.28,3,333,39.72,BATCH-20260801-00
MED-00000019,CEL-00019,2026-08-01 00:00:00,99.855,-89.58,22.42,49.95,83.12,12.86,0.44,1,209,17.65,BATCH-20260801-00
MED-00000020,CEL-00020,2026-08-01 00:00:00,99.916,-85.05,16.72,46.11,167.82,27.41,1.35,3,518,33.01,BATCH-20260801-00
MED-00000021,CEL-00021,2026-08-01 00:00:00,99.975,-86.96,19.98,43.4,173.0,29.28,0.46,0,445,49.72,BATCH-20260801-00
MED-00000022,CEL-00022,2026-08-01 00:00:00,99.848,-92.01,22.07,67.05,57.8,8.59,1.06,3,392,42.67,BATCH-20260801-00
MED-00000023,CEL-00023,2026-08-01 00:00:00,99.863,-82.88,17.41,51.5,174.67,27.56,0.99,0,487,46.42,BATCH-20260801-00
MED-00000024,CEL-00024,2026-08-01 00:00:00,99.947,-89.95,17.54,53.1,161.54,28.61,0.57,1,585,65.15,BATCH-20260801-00
MED-00000025,CEL-00025,2026-08-01 00:00:00,99.942,-97.59,13.02,84.18,61.28,10.73,0.94,3,419,27.05,BATCH-20260801-00
MED-00000026,CEL-00026,2026-08-01 00:00:00,100.0,-80.6,18.4,53.11,75.62,14.88,0.2,1,324,42.16,BATCH-20260801-00
MED-00000027,CEL-00027,2026-08-01 00:00:00,99.935,-90.24,19.26,55.05,72.0,11.32,0.77,3,224,24.58,BATCH-20260801-00
MED-00000028,CEL-00028,2026-08-01 00:00:00,99.925,-83.56,20.34,48.82,65.01,12.73,0.58,0,248,33.49,BATCH-20260801-00
MED-00000029,CEL-00029,2026-08-01 00:00:00,99.815,-85.41,17.66,52.31,178.46,30.33,0.37,2,486,31.04,BATCH-20260801-00
MED-00000030,CEL-00030,2026-08-01 00:00:00,99.894,-86.14,23.75,46.74,172.16,31.58,0.68,1,526,49.63,BATCH-20260801-00
MED-00000031,CEL-00031,2026-08-01 00:00:00,99.927,-88.67,17.66,57.61,72.39,14.9,0.34,2,397,23.83,BATCH-20260801-00
MED-00000032,CEL-00032,2026-08-01 00:00:00,99.926,-79.55,17.87,45.89,168.63,29.18,0.37,3,406,44.41,BATCH-20260801-00
MED-00000033,CEL-00033,2026-08-01 00:00:00,99.901,-82.96,20.92,49.81,165.81,29.55,0.79,1,562,47.37,BATCH-20260801-00
MED-00000034,CEL-00034,2026-08-01 00:00:00,99.914,-95.74,17.58,74.3,71.25,14.73,0.91,2,378,34.57,BATCH-20260801-00
MED-00000035,CEL-00035,2026-08-01 00:00:00,99.884,-96.3,16.52,76.39,65.36,12.65,1.29,1,438,56.77,BATCH-20260801-00
MED-00000036,CEL-00036,2026-08-01 00:00:00,99.833,-101.02,11.73,82.19,58.5,8.67,1.44,5,389,26.03,BATCH-20260801-00
MED-00000037,CEL-00037,2026-08-01 00:00:00,95.482,-94.85,19.37,62.3,54.71,8.86,0.31,3,231,29.21,BATCH-20260801-00
MED-00000038,CEL-00038,2026-08-01 00:00:00,99.927,-91.51,17.42,50.89,183.12,33.69,0.72,1,425,49.07,BATCH-20260801-00
MED-00000039,CEL-00039,2026-08-01 00:00:00,100.0,-75.76,22.99,46.73,187.93,37.21,0.31,0,369,37.42,BATCH-20260801-00
MED-00000040,CEL-00040,2026-08-01 00:00:00,99.897,-84.41,22.33,55.22,77.44,13.73,0.57,0,393,32.87,BATCH-20260801-00
MED-00000041,CEL-00041,2026-08-01 00:00:00,99.915,-79.74,21.82,51.78,177.57,32.87,0.4,0,420,41.41,BATCH-20260801-00
MED-00000042,CEL-00042,2026-08-01 00:00:00,99.908,-86.05,21.51,49.69,176.54,32.19,0.42,2,490,42.25,BATCH-20260801-00
MED-00000043,CEL-00043,2026-08-01 00:00:00,99.882,-88.87,22.13,67.26,71.79,13.84,1.16,2,427,28.2,BATCH-20260801-00
MED-00000044,CEL-00044,2026-08-01 00:00:00,99.864,-91.24,16.74,65.97,71.26,12.76,0.92,3,428,50.48,BATCH-20260801-00
MED-00000045,CEL-00045,2026-08-01 00:00:00,100.0,-94.09,16.11,70.27,61.01,12.39,0.72,2,319,31.05,BATCH-20260801-00
MED-00000046,CEL-00046,2026-08-01 00:00:00,99.901,-90.36,24.25,60.89,67.84,13.66,0.83,2,386,24.25,BATCH-20260801-00
MED-00000047,CEL-00047,2026-08-01 00:00:00,99.952,-85.5,17.85,58.99,179.0,32.34,0.55,1,526,54.47,BATCH-20260801-00
MED-00000048,CEL-00048,2026-08-01 00:00:00,99.935,-91.03,19.55,55.14,164.28,29.81,0.85,2,569,35.18,BATCH-20260801-00
MED-00000049,CEL-00049,2026-08-01 00:00:00,99.895,-85.87,22.95,49.38,82.42,16.07,0.42,1,249,26.44,BATCH-20260801-00
MED-00000050,CEL-00050,2026-08-01 00:00:00,99.8,-89.75,17.83,52.31,159.54,30.3,0.87,2,571,55.86,BATCH-20260801-00
MED-00000051,CEL-00051,2026-08-01 00:00:00,99.835,-96.15,15.42,58.34,169.23,34.56,1.05,1,390,38.29,BATCH-20260801-00
MED-00000052,CEL-00052,2026-08-01 00:00:00,99.923,-85.7,18.91,59.1,78.79,14.74,0.59,1,450,46.33,BATCH-20260801-00
MED-00000053,CEL-00053,2026-08-01 00:00:00,99.895,-80.22,23.32,62.83,82.1,16.32,0.45,2,394,43.68,BATCH-20260801-00
MED-00000054,CEL-00054,2026-08-01 00:00:00,99.949,-80.43,20.82,58.89,82.56,14.73,0.46,1,298,39.33,BATCH-20260801-00
MED-00000055,CEL-00055,2026-08-01 00:00:00,99.923,-87.71,21.58,50.76,84.94,14.4,0.0,1,257,17.94,BATCH-20260801-00
MED-00000056,CEL-00056,2026-08-01 00:00:00,99.889,-84.04,21.45,48.84,170.07,29.51,0.58,2,541,58.27,BATCH-20260801-00
MED-00000057,CEL-00057,2026-08-01 00:00:00,99.884,-83.52,20.48,45.52,176.44,29.45,0.35,1,502,69.83,BATCH-20260801-00
MED-00000058,CEL-00058,2026-08-01 00:00:00,99.943,-87.95,19.93,62.65,77.82,13.7,0.48,0,326,39.46,BATCH-20260801-00
MED-00000059,CEL-00059,2026-08-01 00:00:00,99.876,-84.18,22.73,44.63,180.17,30.29,0.26,1,370,25.28,BATCH-20260801-00
MED-00000060,CEL-00060,2026-08-01 00:00:00,99.942,-87.93,18.79,54.65,172.7,33.16,0.51,3,503,54.66,BATCH-20260801-00
MED-00000061,CEL-00061,2026-08-01 00:00:00,99.914,-95.75,18.04,72.64,51.74,10.66,0.48,0,367,24.79,BATCH-20260801-00
MED-00000062,CEL-00062,2026-08-01 00:00:00,99.899,-96.07,17.34,75.89,63.13,13.12,0.36,3,403,32.2,BATCH-20260801-00
MED-00000063,CEL-00063,2026-08-01 00:00:00,99.925,-98.49,14.57,76.63,57.56,13.65,1.0,4,395,26.29,BATCH-20260801-00
MED-00000064,CEL-00064,2026-08-01 00:00:00,99.963,-94.06,21.02,60.45,72.78,15.18,0.6,2,214,23.41,BATCH-20260801-00
MED-00000065,CEL-00065,2026-08-01 00:00:00,99.914,-83.01,19.67,44.67,169.76,30.65,1.03,3,501,37.68,BATCH-20260801-00
MED-00000066,CEL-00066,2026-08-01 00:00:00,99.885,-79.36,19.64,39.4,183.85,31.64,0.32,0,372,40.16,BATCH-20260801-00
MED-00000067,CEL-00067,2026-08-01 00:00:00,99.922,-81.65,21.58,48.33,79.23,17.02,0.21,2,231,19.37,BATCH-20260801-00
MED-00000068,CEL-00068,2026-08-01 00:00:00,99.93,-76.54,20.95,49.05,188.84,36.2,0.6,3,399,24.86,BATCH-20260801-00
MED-00000069,CEL-00069,2026-08-01 00:00:00,100.0,-89.44,19.72,51.15,178.55,31.84,0.41,1,482,52.76,BATCH-20260801-00
MED-00000070,CEL-00070,2026-08-01 00:00:00,99.902,-87.89,20.64,64.02,75.1,11.69,0.69,1,455,57.64,BATCH-20260801-00
MED-00000071,CEL-00071,2026-08-01 00:00:00,99.861,-82.92,21.43,60.63,75.66,13.72,0.35,0,440,45.42,BATCH-20260801-00
MED-00000072,CEL-00072,2026-08-01 00:00:00,99.917,-95.09,18.16,70.06,58.06,10.83,0.33,0,288,30.99,BATCH-20260801-00
MED-00000073,CEL-00073,2026-08-01 00:00:00,99.929,-97.66,19.51,64.95,47.92,7.67,0.59,2,207,17.11,BATCH-20260801-00
MED-00000074,CEL-00074,2026-08-01 00:00:00,95.429,-88.75,20.38,46.01,191.4,32.5,0.43,1,393,45.05,BATCH-20260801-00
MED-00000075,CEL-00075,2026-08-01 00:00:00,99.941,-89.04,19.23,45.29,174.38,31.89,0.22,3,476,58.93,BATCH-20260801-00
MED-00000076,CEL-00076,2026-08-01 00:00:00,99.904,-90.1,20.95,67.32,63.75,9.35,0.68,1,384,52.11,BATCH-20260801-00
MED-00000077,CEL-00077,2026-08-01 00:00:00,99.895,-87.89,18.16,46.52,184.0,32.57,0.23,2,481,43.13,BATCH-20260801-00
MED-00000078,CEL-00078,2026-08-01 00:00:00,99.832,-76.74,15.7,50.97,168.78,29.68,0.91,3,589,35.61,BATCH-20260801-00
MED-00000079,CEL-00079,2026-08-01 00:00:00,100.0,-86.84,21.92,65.28,75.86,14.13,0.31,2,382,41.56,BATCH-20260801-00
MED-00000080,CEL-00080,2026-08-01 00:00:00,99.887,-83.67,22.66,55.26,70.96,12.74,0.55,1,262,28.52,BATCH-20260801-00
MED-00000081,CEL-00081,2026-08-01 00:00:00,99.809,-95.45,21.22,69.0,71.11,12.4,0.42,2,234,20.3,BATCH-20260801-00
MED-00000082,CEL-00082,2026-08-01 00:00:00,99.952,-80.02,25.55,55.82,75.5,13.46,0.39,3,355,24.37,BATCH-20260801-00
MED-00000083,CEL-00083,2026-08-01 00:00:00,99.935,-90.53,20.97,49.2,179.47,31.76,0.55,4,386,30.17,BATCH-20260801-00
MED-00000084,CEL-00084,2026-08-01 00:00:00,99.929,-88.96,22.01,56.17,168.42,29.02,0.63,1,519,63.13,BATCH-20260801-00
MED-00000085,CEL-00085,2026-08-01 00:00:00,100.0,-83.1,22.66,60.71,73.0,12.8,0.34,1,287,23.21,BATCH-20260801-00
MED-00000086,CEL-00086,2026-08-01 00:00:00,100.0,-83.47,18.08,45.48,180.95,33.86,0.5,0,475,38.33,BATCH-20260801-00
MED-00000087,CEL-00087,2026-08-01 00:00:00,99.881,-89.73,22.5,48.04,176.86,32.42,0.54,1,470,63.16,BATCH-20260801-00
MED-00000088,CEL-00088,2026-08-01 00:00:00,99.915,-90.6,22.37,58.02,62.51,8.7,0.68,0,311,28.26,BATCH-20260801-00
MED-00000089,CEL-00089,2026-08-01 00:00:00,99.865,-95.49,17.2,62.96,54.78,10.98,0.5,0,264,36.64,BATCH-20260801-00
MED-00000090,CEL-00090,2026-08-01 00:00:00,99.948,-92.97,20.0,65.86,75.69,14.69,0.32,0,259,32.83,BATCH-20260801-00
MED-00000091,CEL-00091,2026-08-01 00:00:00,100.0,-88.81,22.88,46.85,78.73,12.36,0.62,2,199,12.7,BATCH-20260801-00
MED-00000092,CEL-00092,2026-08-01 00:00:00,99.918,-82.95,22.07,48.17,185.89,35.35,0.56,4,480,54.48,BATCH-20260801-00
MED-00000093,CEL-00093,2026-08-01 00:00:00,99.98,-79.82,18.41,46.83,173.22,29.07,0.46,2,480,64.36,BATCH-20260801-00
MED-00000094,CEL-00094,2026-08-01 00:00:00,99.896,-86.34,20.5,57.72,76.12,11.63,0.0,0,384,30.77,BATCH-20260801-00
MED-00000095,CEL-00095,2026-08-01 00:00:00,99.993,-83.62,22.37,39.8,181.84,29.98,0.78,1,406,38.81,BATCH-20260801-00
MED-00000096,CEL-00096,2026-08-01 00:00:00,99.875,-79.43,21.26,43.77,177.87,31.29,0.49,1,445,61.29,BATCH-20260801-00
MED-00000097,CEL-00097,2026-08-01 00:00:00,99.955,-80.37,24.03,54.11,77.33,14.92,0.59,3,300,34.41,BATCH-20260801-00
MED-00000098,CEL-00098,2026-08-01 00:00:00,99.92,-88.06,20.79,60.2,86.53,11.1,0.44,1,337,40.4,BATCH-20260801-00
MED-00000099,CEL-00099,2026-08-01 00:00:00,99.938,-91.44,19.21,69.06,72.51,12.06,0.31,0,284,25.19,BATCH-20260801-00
MED-00000100,CEL-00100,2026-08-01 00:00:00,99.974,-93.91,20.78,66.03,61.79,14.39,0.82,1,273,23.06,BATCH-20260801-00
MED-00000101,CEL-00101,2026-08-01 00:00:00,99.998,-85.85,20.8,51.21,170.39,31.1,0.57,2,535,62.64,BATCH-20260801-00
MED-00000101,CEL-00102,2026-08-01 00:00:00,99.935,-84.54,22.42,40.09,174.4,33.46,0.2,1,381,24.82,BATCH-20260801-00
MED-00000103,CEL-00103,2026-08-01 00:00:00,99.94,-96.8,17.08,73.34,75.03,10.94,0.79,1,351,47.76,BATCH-20260801-00
MED-00000104,CEL-00104,2026-08-01 00:00:00,99.877,-72.42,22.99,38.15,193.6,31.89,0.94,1,377,50.17,BATCH-20260801-00
MED-00000105,CEL-00105,2026-08-01 00:00:00,99.862,-87.51,19.23,48.8,168.09,31.75,0.89,3,521,62.21,BATCH-20260801-00
MED-00000106,CEL-00106,2026-08-01 00:00:00,99.881,-92.15,20.36,58.76,65.42,11.91,0.15,1,244,15.7,BATCH-20260801-00
MED-00000107,CEL-00107,2026-08-01 00:00:00,99.986,-84.63,21.47,56.66,81.85,11.6,0.46,2,270,21.45,BATCH-20260801-00
MED-00000108,CEL-00108,2026-08-01 00:00:00,99.865,-83.18,21.05,58.18,76.52,13.17,0.56,2,335,21.07,BATCH-20260801-00
MED-00000109,CEL-00109,2026-08-01 00:00:00,100.0,-91.16,19.82,61.78,77.33,14.12,0.15,0,299,19.77,BATCH-20260801-00
MED-00000110,CEL-00110,2026-08-01 00:00:00,99.893,-85.59,19.87,36.67,181.14,32.24,0.76,1,320,33.1,BATCH-20260801-00
MED-00000111,CEL-00111,2026-08-01 00:00:00,95.399,-87.3,20.21,44.08,177.86,33.36,0.63,3,393,43.44,BATCH-20260801-00
MED-00000112,CEL-00112,2026-08-01 00:00:00,99.932,-84.86,22.25,49.09,73.51,11.21,0.26,1,283,24.65,BATCH-20260801-00
MED-00000113,CEL-00113,2026-08-01 00:00:00,99.954,-92.02,16.65,63.9,164.35,31.68,0.81,3,559,77.53,BATCH-20260801-00
MED-00000114,CEL-00114,2026-08-01 00:00:00,99.941,-92.14,19.07,55.8,165.37,29.89,0.7,2,534,49.26,BATCH-20260801-00
MED-00000115,CEL-00115,2026-08-01 00:00:00,99.928,-101.08,13.13,89.25,60.42,10.34,1.26,5,357,24.56,BATCH-20260801-00
MED-00000116,CEL-00116,2026-08-01 00:00:00,99.841,-100.91,11.53,77.09,54.1,10.74,1.65,6,349,22.77,BATCH-20260801-00
MED-00000117,CEL-00117,2026-08-01 00:00:00,99.912,-78.87,19.4,59.51,81.42,15.38,0.46,2,405,43.0,BATCH-20260801-00
MED-00000118,CEL-00118,2026-08-01 00:00:00,100.0,-84.13,22.57,65.05,68.65,11.9,0.23,2,418,28.18,BATCH-20260801-00
MED-00000119,CEL-00119,2026-08-01 00:00:00,99.933,-85.67,21.35,47.85,187.22,32.09,0.4,2,514,42.34,BATCH-20260801-00
MED-00000120,CEL-00120,2026-08-01 00:00:00,99.932,-83.56,21.77,43.29,179.39,32.28,0.09,0,453,59.76,BATCH-20260801-00
MED-00000121,CEL-00121,2026-08-01 00:00:00,99.915,-88.51,22.41,59.65,86.41,15.62,0.64,0,338,33.24,BATCH-20260801-00
MED-00000122,CEL-00122,2026-08-01 00:00:00,99.926,-90.09,21.25,48.71,177.17,31.05,0.68,1,443,35.6,BATCH-20260801-00
MED-00000123,CEL-00123,2026-08-01 00:00:00,99.929,-84.78,20.5,40.23,176.69,30.41,0.09,2,378,45.39,BATCH-20260801-00
MED-00000124,CEL-00124,2026-08-01 00:00:00,99.979,-92.75,17.08,67.47,66.86,9.2,0.7,0,421,34.66,BATCH-20260801-00
MED-00000125,CEL-00125,2026-08-01 00:00:00,99.972,-89.33,18.17,57.15,71.92,12.34,0.62,3,311,23.83,BATCH-20260801-00
MED-00000126,CEL-00126,2026-08-01 00:00:00,99.999,-95.03,17.76,74.24,64.22,12.55,0.45,2,373,31.64,BATCH-20260801-00
MED-00000127,CEL-00127,2026-08-01 00:00:00,100.0,-93.99,18.85,63.39,58.28,11.91,0.42,1,339,35.01,BATCH-20260801-00
MED-00000128,CEL-00128,2026-08-01 00:00:00,99.941,-96.21,14.05,62.2,167.53,28.81,1.03,4,418,50.97,BATCH-20260801-00
MED-00000129,CEL-00129,2026-08-01 00:00:00,99.952,-91.54,19.29,44.3,173.07,34.6,0.69,1,339,45.99,BATCH-20260801-00
MED-00000130,CEL-00130,2026-08-01 00:00:00,99.863,-84.67,18.65,60.97,85.29,15.89,0.71,0,435,42.07,BATCH-20260801-00
MED-00000131,CEL-00131,2026-08-01 00:00:00,99.927,-83.36,23.48,43.36,184.51,31.46,0.41,0,386,25.13,BATCH-20260801-00
MED-00000132,CEL-00132,2026-08-01 00:00:00,99.875,-79.05,22.17,48.97,166.97,27.48,0.65,2,574,46.9,BATCH-20260801-00
MED-00000133,CEL-00133,2026-08-01 00:00:00,99.905,-83.62,20.41,56.8,77.18,14.31,0.87,2,381,31.23,BATCH-20260801-00
MED-00000134,CEL-00134,2026-08-01 00:00:00,100.0,-80.59,19.68,52.93,73.85,9.71,0.38,0,352,24.03,BATCH-20260801-00
MED-00000135,CEL-00135,2026-08-01 00:00:00,99.914,-82.45,24.76,60.6,79.16,9.7,0.81,2,287,18.58,BATCH-20260801-00
MED-00000136,CEL-00136,2026-08-01 00:00:00,99.976,-87.23,20.39,51.25,81.17,14.7,0.51,1,237,16.25,BATCH-20260801-00
MED-00000137,CEL-00137,2026-08-01 00:00:00,99.941,-87.99,24.14,41.87,179.59,31.1,1.19,3,422,50.4,BATCH-20260801-00
MED-00000138,CEL-00138,2026-08-01 00:00:00,99.939,-90.61,19.18,60.12,175.79,35.11,0.61,1,469,60.3,BATCH-20260801-00
MED-00000139,CEL-00139,2026-08-01 00:00:00,99.917,-98.27,14.4,71.56,64.92,5.28,1.08,2,234,25.44,BATCH-20260801-00
MED-00000140,CEL-00140,2026-08-01 00:00:00,100.0,-87.04,18.31,42.88,172.68,33.82,0.46,0,434,55.89,BATCH-20260801-00
MED-00000141,CEL-00141,2026-08-01 00:00:00,99.896,-85.8,21.39,49.1,166.61,29.46,0.44,2,539,53.41,BATCH-20260801-00
MED-00000142,CEL-00142,2026-08-01 00:00:00,99.96,-96.48,19.55,64.02,63.01,9.82,0.39,2,255,20.48,BATCH-20260801-00
MED-00000143,CEL-00143,2026-08-01 00:00:00,99.906,-84.03,19.16,58.19,66.43,13.13,0.67,0,401,41.7,BATCH-20260801-00
MED-00000144,CEL-00144,2026-08-01 00:00:00,99.921,-87.02,21.96,57.26,79.42,16.87,0.06,3,370,27.22,BATCH-20260801-00
MED-00000145,CEL-00145,2026-08-01 00:00:00,99.959,-78.38,22.5,57.71,73.0,15.27,0.04,0,260,21.32,BATCH-20260801-00
MED-00000146,CEL-00146,2026-08-01 00:00:00,99.932,-81.28,21.18,49.92,186.95,33.07,0.95,0,468,30.36,BATCH-20260801-00
MED-00000147,CEL-00147,2026-08-01 00:00:00,99.927,-71.19,17.77,44.03,183.69,31.82,0.92,3,481,63.06,BATCH-20260801-00
MED-00000148,CEL-00148,2026-08-01 00:00:00,95.385,-86.88,21.26,51.32,80.21,14.36,0.07,0,259,19.86,BATCH-20260801-00
MED-00000149,CEL-00149,2026-08-01 00:00:00,99.912,-82.79,22.48,56.0,169.33,32.44,0.59,3,475,59.3,BATCH-20260801-00
MED-00000150,CEL-00150,2026-08-01 00:00:00,99.92,-90.38,20.49,57.49,171.42,30.52,0.51,1,534,68.27,BATCH-20260801-00
MED-00000151,CEL-00151,2026-08-01 00:00:00,99.911,-87.0,17.54,62.72,77.83,12.33,0.6,0,420,25.44,BATCH-20260801-00
MED-00000152,CEL-00152,2026-08-01 00:00:00,99.965,-92.75,19.74,58.48,80.81,12.55,0.28,2,288,34.93,BATCH-20260801-00
MED-00000153,CEL-00153,2026-08-01 00:00:00,99.993,-95.06,16.16,75.22,49.46,6.98,0.49,1,391,42.01,BATCH-20260801-00
MED-00000154,CEL-00154,2026-08-01 00:00:00,99.977,-84.51,22.14,50.45,88.09,14.3,0.34,1,232,18.34,BATCH-20260801-00
MED-00000155,CEL-00155,2026-08-01 00:00:00,99.969,-88.32,20.59,46.13,182.82,33.85,0.22,1,411,38.62,BATCH-20260801-00
MED-00000156,CEL-00156,2026-08-01 00:00:00,99.951,-81.02,21.81,46.3,178.24,31.05,0.42,1,427,49.07,BATCH-20260801-00
MED-00000157,CEL-00157,2026-08-01 00:00:00,99.859,-85.66,22.05,55.31,73.39,13.84,0.94,0,325,35.98,BATCH-20260801-00
MED-00000158,CEL-00158,2026-08-01 00:00:00,99.982,-86.93,20.89,43.81,176.23,32.6,0.66,0,432,57.37,BATCH-20260801-00
MED-00000159,CEL-00159,2026-08-01 00:00:00,99.985,-82.19,19.58,52.89,177.41,31.88,0.37,2,401,51.06,BATCH-20260801-00
MED-00000160,CEL-00160,2026-08-01 00:00:00,99.845,-84.92,20.0,56.54,73.81,12.47,0.42,1,406,30.19,BATCH-20260801-00
MED-00000161,CEL-00161,2026-08-01 00:00:00,99.881,-89.83,18.6,69.45,76.52,14.69,0.29,1,480,56.99,BATCH-20260801-00
MED-00000162,CEL-00162,2026-08-01 00:00:00,99.984,-82.51,22.65,51.45,76.62,14.42,0.3,1,216,27.86,BATCH-20260801-00
MED-00000163,CEL-00163,2026-08-01 00:00:00,99.886,-87.48,20.39,49.2,82.29,11.07,0.35,2,263,26.59,BATCH-20260801-00
MED-00000164,CEL-00164,2026-08-01 00:00:00,99.91,-88.58,17.05,43.38,177.58,32.65,0.46,3,449,37.1,BATCH-20260801-00
MED-00000165,CEL-00165,2026-08-01 00:00:00,99.878,-93.89,15.49,58.74,156.57,26.35,0.22,3,538,46.43,BATCH-20260801-00
MED-00000166,CEL-00166,2026-08-01 00:00:00,99.982,-91.29,20.03,64.15,77.1,14.42,0.24,2,313,25.16,BATCH-20260801-00
MED-00000167,CEL-00167,2026-08-01 00:00:00,99.965,-90.29,17.83,54.52,177.71,32.97,0.69,1,477,40.7,BATCH-20260801-00
MED-00000168,CEL-00168,2026-08-01 00:00:00,99.827,-83.53,23.88,49.95,174.71,29.81,0.81,1,400,49.74,BATCH-20260801-00
MED-00000169,CEL-00169,2026-08-01 00:00:00,99.877,-86.07,24.73,64.63,67.99,13.52,0.74,0,468,53.56,BATCH-20260801-00
MED-00000170,CEL-00170,2026-08-01 00:00:00,100.0,-83.25,20.85,61.98,75.51,12.01,0.38,2,404,30.34,BATCH-20260801-00
MED-00000171,CEL-00171,2026-08-01 00:00:00,99.932,-84.29,21.61,54.19,68.62,14.99,0.95,1,299,26.45,BATCH-20260801-00
MED-00000172,CEL-00172,2026-08-01 00:00:00,99.927,-77.99,23.45,56.38,66.14,10.33,0.42,2,389,48.79,BATCH-20260801-00
MED-00000173,CEL-00173,2026-08-01 00:00:00,99.879,-80.71,17.29,46.8,182.56,33.76,0.62,1,367,43.36,BATCH-20260801-00
MED-00000174,CEL-00174,2026-08-01 00:00:00,99.891,-86.14,23.06,40.99,181.37,31.93,0.41,4,402,30.93,BATCH-20260801-00
MED-00000175,CEL-00175,2026-08-01 00:00:00,99.95,-88.28,22.85,49.22,72.83,15.57,0.61,2,270,35.05,BATCH-20260801-00
MED-00000176,CEL-00176,2026-08-01 00:00:00,99.946,-83.94,21.79,39.04,182.92,29.68,0.23,2,370,28.98,BATCH-20260801-00
MED-00000177,CEL-00177,2026-08-01 00:00:00,99.936,-86.38,23.94,41.66,176.54,32.77,0.99,0,426,47.58,BATCH-20260801-00
MED-00000178,CEL-00178,2026-08-01 00:00:00,99.956,-88.06,22.54,55.19,76.71,14.54,0.3,0,326,42.99,BATCH-20260801-00
MED-00000179,CEL-00179,2026-08-01 00:00:00,99.955,-95.59,15.98,69.11,53.64,12.26,0.25,1,271,26.78,BATCH-20260801-00
MED-00000180,CEL-00180,2026-08-01 00:00:00,99.941,-96.45,15.64,74.13,57.23,11.62,0.76,3,332,20.21,BATCH-20260801-00
MED-00000181,CEL-00001,2026-08-01 01:00:00,99.932,-91.38,25.31,62.74,73.29,9.93,0.74,3,249,15.98,BATCH-20260801-01
MED-00000182,CEL-00002,2026-08-01 01:00:00,99.897,-79.5,20.19,45.63,185.6,32.77,0.52,0,405,27.07,BATCH-20260801-01
MED-00000183,CEL-00003,2026-08-01 01:00:00,99.92,-82.61,20.24,41.87,175.07,29.33,1.22,3,397,33.2,BATCH-20260801-01
MED-00000184,CEL-00004,2026-08-01 01:00:00,99.888,-89.45,20.4,60.63,75.57,15.56,0.64,0,422,56.15,BATCH-20260801-01
