survey_id,customer_id,subscription_id,response_date,survey_trigger,nps_score,csat_score,experience_area,feedback_category,survey_channel
ENC-000064,CLI-001450,SUB-001450,2026-08-08,Cambio de plan,1,1,Producto,Plan adecuado,App
ENC-000065,CLI-001473,SUB-001473,2026-08-11,Periódica,0,1,Facturación,Cobro claro,Web
ENC-000066,CLI-001496,SUB-001496,2026-08-14,Cierre de ticket,5,3,App,App fácil de usar,SMS
ENC-000067,CLI-001519,SUB-001519,2026-08-03,Alta,4,3,Red,Cobertura insuficiente,App
ENC-000068,CLI-001542,SUB-001542,2026-08-06,Cambio de plan,9,5,Red,Velocidad variable,Web
ENC-000069,CLI-001565,SUB-001565,2026-08-09,Periódica,3,2,Atención,Atención satisfactoria,SMS
ENC-000070,CLI-001588,SUB-001588,2026-08-12,Cierre de ticket,2,2,Producto,Plan adecuado,App
ENC-000071,CLI-001611,SUB-001611,2026-08-01,Alta,7,4,Facturación,Cobro claro,Web
ENC-000072,CLI-001634,SUB-001634,2026-08-04,Cambio de plan,6,4,App,App fácil de usar,SMS
ENC-000073,CLI-001657,SUB-001657,2026-08-07,Periódica,0,1,Red,Cobertura insuficiente,App
ENC-000074,CLI-001680,SUB-001680,2026-08-10,Cierre de ticket,5,3,Red,Velocidad variable,Web
ENC-000075,CLI-001703,SUB-001703,2026-08-13,Alta,4,3,Atención,Atención satisfactoria,SMS
ENC-000076,CLI-001726,SUB-001726,2026-08-02,Cambio de plan,9,5,Producto,Plan adecuado,App
ENC-000077,CLI-001749,SUB-001749,2026-08-05,Periódica,8,5,Facturación,Cobro claro,Web
ENC-000078,CLI-001772,SUB-001772,2026-08-08,Cierre de ticket,2,2,App,App fácil de usar,SMS
ENC-000079,CLI-001795,SUB-001795,2026-08-11,Alta,7,4,Red,Cobertura insuficiente,App
ENC-000080,CLI-001818,SUB-001818,2026-08-14,Cambio de plan,6,4,Red,Velocidad variable,Web
ENC-000081,CLI-001841,SUB-001841,2026-08-03,Periódica,0,1,Atención,Atención satisfactoria,SMS
ENC-000082,CLI-001864,SUB-001864,2026-08-06,Cierre de ticket,10,5,Producto,Plan adecuado,App
ENC-000083,CLI-001887,SUB-001887,2026-08-09,Alta,4,3,Facturación,Cobro claro,Web
ENC-000084,CLI-001910,SUB-001910,2026-08-12,Cambio de plan,9,5,App,App fácil de usar,SMS
ENC-000085,CLI-001933,SUB-001933,2026-08-01,Periódica,8,5,Red,Cobertura insuficiente,App
ENC-000086,CLI-001956,SUB-001956,2026-08-04,Cierre de ticket,2,2,Red,Velocidad variable,Web
ENC-000087,CLI-001979,SUB-001979,2026-08-07,Alta,1,1,Atención,Atención satisfactoria,SMS
ENC-000088,CLI-002002,SUB-002002,2026-08-10,Cambio de plan,6,4,Producto,Plan adecuado,App
ENC-000089,CLI-002025,SUB-002025,2026-08-13,Periódica,0,1,Facturación,Cobro claro,Web
ENC-000090,CLI-002048,SUB-002048,2026-08-02,Cierre de ticket,10,5,App,App fácil de usar,SMS
ENC-000091,CLI-002071,SUB-002071,2026-08-05,Alta,4,3,Red,Cobertura insuficiente,App
ENC-000092,CLI-002094,SUB-002094,2026-08-08,Cambio de plan,3,2,Red,Velocidad variable,Web
ENC-000093,CLI-002117,SUB-002117,2026-08-11,Periódica,8,5,Atención,Atención satisfactoria,SMS
ENC-000094,CLI-002140,SUB-002140,2026-08-14,Cierre de ticket,2,2,Producto,Plan adecuado,App
ENC-000095,CLI-002163,SUB-002163,2026-08-03,Alta,1,1,Facturación,Cobro claro,Web
ENC-000096,CLI-002186,SUB-002186,2026-08-06,Cambio de plan,6,4,App,App fácil de usar,SMS
ENC-000097,CLI-002209,SUB-002209,2026-08-09,Periódica,5,3,Red,Cobertura insuficiente,App
ENC-000098,CLI-002232,SUB-002232,2026-08-12,Cierre de ticket,10,5,Red,Velocidad variable,Web
ENC-000099,CLI-002255,SUB-002255,2026-08-01,Alta,4,3,Atención,Atención satisfactoria,SMS
ENC-000100,CLI-002278,SUB-002278,2026-08-04,Cambio de plan,3,2,Producto,Plan adecuado,App
ENC-000101,CLI-002301,SUB-002301,2026-08-07,Periódica,8,5,Facturación,Cobro claro,Web
ENC-000102,CLI-002324,SUB-002324,2026-08-10,Cierre de ticket,7,4,App,App fácil de usar,SMS
ENC-000103,CLI-002347,SUB-002347,2026-08-13,Alta,1,1,Red,Cobertura insuficiente,App
ENC-000104,CLI-002370,SUB-002370,2026-08-02,Cambio de plan,6,4,Red,Velocidad variable,Web
ENC-000105,CLI-002393,SUB-002393,2026-08-05,Periódica,5,3,Atención,Atención satisfactoria,SMS
ENC-000106,CLI-002416,SUB-002416,2026-08-08,Cierre de ticket,10,5,Producto,Plan adecuado,App
ENC-000107,CLI-002439,SUB-002439,2026-08-11,Alta,9,5,Facturación,Cobro claro,Web
ENC-000108,CLI-002462,SUB-002462,2026-08-14,Cambio de plan,3,2,App,App fácil de usar,SMS
ENC-000109,CLI-002485,SUB-002485,2026-08-03,Periódica,8,5,Red,Cobertura insuficiente,App
ENC-000110,CLI-002508,SUB-002508,2026-08-06,Cierre de ticket,7,4,Red,Velocidad variable,Web
ENC-000111,CLI-002531,SUB-002531,2026-08-09,Alta,1,1,Atención,Atención satisfactoria,SMS
ENC-000112,CLI-002554,SUB-002554,2026-08-12,Cambio de plan,0,1,Producto,Plan adecuado,App
ENC-000113,CLI-002577,SUB-002577,2026-08-01,Periódica,5,3,Facturación,Cobro claro,Web
ENC-000114,CLI-002600,SUB-002600,2026-08-04,Cierre de ticket,10,5,App,App fácil de usar,SMS
ENC-000115,CLI-002623,SUB-002623,2026-08-07,Alta,9,5,Red,Cobertura insuficiente,App
ENC-000116,CLI-002646,SUB-002646,2026-08-10,Cambio de plan,3,2,Red,Velocidad variable,Web
ENC-000117,CLI-002669,SUB-002669,2026-08-13,Periódica,2,2,Atención,Atención satisfactoria,SMS
ENC-000118,CLI-002692,SUB-002692,2026-08-02,Cierre de ticket,7,4,Producto,Plan adecuado,App
ENC-000119,CLI-002715,SUB-002715,2026-08-05,Alta,1,1,Facturación,Cobro claro,Web
ENC-000120,CLI-002738,SUB-002738,2026-08-08,Cambio de plan,0,1,App,App fácil de usar,SMS
ENC-000121,CLI-002761,SUB-002761,2026-08-11,Periódica,5,3,Red,Cobertura insuficiente,App
ENC-000122,CLI-002784,SUB-002784,2026-08-14,Cierre de ticket,4,3,Red,Velocidad variable,Web
ENC-000123,CLI-002807,SUB-002807,2026-08-03,Alta,9,5,Atención,Atención satisfactoria,SMS
ENC-000124,CLI-002830,SUB-002830,2026-08-06,Cambio de plan,3,2,Producto,Plan adecuado,App
ENC-000125,CLI-002853,SUB-002853,2026-08-09,Periódica,2,2,Facturación,Cobro claro,Web
ENC-000126,CLI-002876,SUB-002876,2026-08-12,Cierre de ticket,7,4,App,App fácil de usar,SMS
ENC-000127,CLI-002899,SUB-002899,2026-08-01,Alta,6,4,Red,Cobertura insuficiente,App
ENC-000128,CLI-002922,SUB-002922,2026-08-04,Cambio de plan,0,1,Red,Velocidad variable,Web
ENC-000129,CLI-002945,SUB-002945,2026-08-07,Periódica,5,3,Atención,Atención satisfactoria,SMS
ENC-000130,CLI-002968,SUB-002968,2026-08-10,Cierre de ticket,4,3,Producto,Plan adecuado,App
ENC-000131,CLI-002991,SUB-002991,2026-08-13,Alta,9,5,Facturación,Cobro claro,Web
ENC-000132,CLI-000014,SUB-003014,2026-08-02,Cambio de plan,8,5,App,App fácil de usar,SMS
ENC-000133,CLI-000037,SUB-003037,2026-08-05,Periódica,2,2,Red,Cobertura insuficiente,App
ENC-000134,CLI-000060,SUB-003060,2026-08-08,Cierre de ticket,7,4,Red,Velocidad variable,Web
ENC-000135,CLI-000083,SUB-003083,2026-08-11,Alta,6,4,Atención,Atención satisfactoria,SMS
ENC-000136,CLI-000106,SUB-003106,2026-08-14,Cambio de plan,0,1,Producto,Plan adecuado,App
ENC-000137,CLI-000129,SUB-003129,2026-08-03,Periódica,10,5,Facturación,Cobro claro,Web
ENC-000138,CLI-000152,SUB-003152,2026-08-06,Cierre de ticket,4,3,App,App fácil de usar,SMS
ENC-000139,CLI-000175,SUB-003175,2026-08-09,Alta,9,5,Red,Cobertura insuficiente,App
ENC-000140,CLI-000198,SUB-003198,2026-08-12,Cambio de plan,8,5,Red,Velocidad variable,Web
ENC-000141,CLI-000221,SUB-003221,2026-08-01,Periódica,2,2,Atención,Atención satisfactoria,SMS
ENC-000142,CLI-000244,SUB-003244,2026-08-04,Cierre de ticket,1,1,Producto,Plan adecuado,App
ENC-000143,CLI-000267,SUB-003267,2026-08-07,Alta,6,4,Facturación,Cobro claro,Web
ENC-000144,CLI-000290,SUB-003290,2026-08-10,Cambio de plan,0,1,App,App fácil de usar,SMS
ENC-000145,CLI-000313,SUB-003313,2026-08-13,Periódica,10,5,Red,Cobertura insuficiente,App
ENC-000146,CLI-000336,SUB-003336,2026-08-02,Cierre de ticket,4,3,Red,Velocidad variable,Web
ENC-000147,CLI-000359,SUB-003359,2026-08-05,Alta,3,2,Atención,Atención satisfactoria,SMS
ENC-000148,CLI-000382,SUB-003382,2026-08-08,Cambio de plan,8,5,Producto,Plan adecuado,App
ENC-000149,CLI-000405,SUB-003405,2026-08-11,Periódica,2,2,Facturación,Cobro claro,Web
ENC-000150,CLI-000428,SUB-003428,2026-08-14,Cierre de ticket,1,1,App,App fácil de usar,SMS
ENC-000151,CLI-000451,SUB-003451,2026-08-03,Alta,6,4,Red,Cobertura insuficiente,App
ENC-000152,CLI-000474,SUB-003474,2026-08-06,Cambio de plan,5,3,Red,Velocidad variable,Web
ENC-000153,CLI-000497,SUB-003497,2026-08-09,Periódica,10,5,Atención,Atención satisfactoria,SMS
ENC-000154,CLI-000520,SUB-003520,2026-08-12,Cierre de ticket,4,3,Producto,Plan adecuado,App
ENC-000155,CLI-000543,SUB-003543,2026-08-01,Alta,3,2,Facturación,Cobro claro,Web
ENC-000156,CLI-000566,SUB-003566,2026-08-04,Cambio de plan,8,5,App,App fácil de usar,SMS
ENC-000157,CLI-000589,SUB-003589,2026-08-07,Periódica,7,4,Red,Cobertura insuficiente,App
ENC-000158,CLI-000612,SUB-003612,2026-08-10,Cierre de ticket,1,1,Red,Velocidad variable,Web
ENC-000159,CLI-000635,SUB-003635,2026-08-13,Alta,6,4,Atención,Atención satisfactoria,SMS
ENC-000160,CLI-000658,SUB-003658,2026-08-02,Cambio de plan,5,3,Producto,Plan adecuado,App
ENC-000161,CLI-000681,SUB-003681,2026-08-05,Periódica,10,5,Facturación,Cobro claro,Web
ENC-000162,CLI-000704,SUB-003704,2026-08-08,Cierre de ticket,9,5,App,App fácil de usar,SMS
ENC-000163,CLI-000727,SUB-003727,2026-08-11,Alta,3,2,Red,Cobertura insuficiente,App
ENC-000164,CLI-000750,SUB-003750,2026-08-14,Cambio de plan,8,5,Red,Velocidad variable,Web
ENC-000165,CLI-000773,SUB-003773,2026-08-03,Periódica,7,4,Atención,Atención satisfactoria,SMS
ENC-000166,CLI-000796,SUB-003796,2026-08-06,Cierre de ticket,1,1,Producto,Plan adecuado,App
ENC-000167,CLI-000819,SUB-003819,2026-08-09,Alta,0,1,Facturación,Cobro claro,Web
ENC-000168,CLI-000842,SUB-003842,2026-08-12,Cambio de plan,5,3,App,App fácil de usar,SMS
ENC-000169,CLI-000865,SUB-003865,2026-08-01,Periódica,10,5,Red,Cobertura insuficiente,App
ENC-000170,CLI-000888,SUB-003888,2026-08-04,Cierre de ticket,9,5,Red,Velocidad variable,Web
ENC-000171,CLI-000911,SUB-003911,2026-08-07,Alta,3,2,Atención,Atención satisfactoria,SMS
ENC-000172,CLI-000934,SUB-003934,2026-08-10,Cambio de plan,2,2,Producto,Plan adecuado,App
ENC-000173,CLI-000957,SUB-003957,2026-08-13,Periódica,7,4,Facturación,Cobro claro,Web
ENC-000174,CLI-000980,SUB-003980,2026-08-02,Cierre de ticket,1,1,App,App fácil de usar,SMS
ENC-000175,CLI-001003,SUB-004003,2026-08-05,Alta,0,1,Red,Cobertura insuficiente,App
ENC-000176,CLI-001026,SUB-004026,2026-08-08,Cambio de plan,5,3,Red,Velocidad variable,Web
ENC-000177,CLI-001049,SUB-004049,2026-08-11,Periódica,4,3,Atención,Atención satisfactoria,SMS
ENC-000178,CLI-001072,SUB-004072,2026-08-14,Cierre de ticket,9,5,Producto,Plan adecuado,App
ENC-000179,CLI-001095,SUB-004095,2026-08-03,Alta,3,2,Facturación,Cobro claro,Web
ENC-000180,CLI-001118,SUB-004118,2026-08-06,Cambio de plan,2,7,App,App fácil de usar,SMS
ENC-000181,CLI-001141,SUB-004141,2026-08-09,Periódica,7,4,Red,Cobertura insuficiente,App
ENC-000182,CLI-001164,SUB-004164,2026-08-12,Cierre de ticket,12,4,Red,Velocidad variable,Web
ENC-000183,CLI-001187,SUB-004187,2026-08-01,Alta,0,1,Atención,Atención satisfactoria,SMS
ENC-000184,CLI-000010,SUB-000010,2026-08-04,Cambio de plan,5,3,Producto,Plan adecuado,App
ENC-000185,CLI-000033,SUB-000033,2026-08-07,Periódica,4,3,Facturación,Cobro claro,Web
ENC-000186,CLI-000056,SUB-000056,2026-08-10,Cierre de ticket,9,5,App,App fácil de usar,SMS
ENC-000187,CLI-000079,SUB-000079,2026-08-13,Alta,8,5,Red,Cobertura insuficiente,App
ENC-000188,CLI-000102,SUB-000102,2026-08-02,Cambio de plan,2,2,Red,Velocidad variable,Web
ENC-000189,CLI-000125,SUB-000125,2026-08-05,Periódica,7,4,Atención,Atención satisfactoria,SMS
ENC-000190,CLI-000148,SUB-000148,2026-08-08,Cierre de ticket,6,4,Producto,Plan adecuado,App
ENC-000191,CLI-000171,SUB-000171,2026-08-11,Alta,0,1,Facturación,Cobro claro,Web
ENC-000192,CLI-000194,SUB-000194,2026-08-14,Cambio de plan,10,5,App,App fácil de usar,SMS
ENC-000193,CLI-000217,SUB-000217,2026-08-03,Periódica,4,3,Red,Cobertura insuficiente,App
ENC-000194,CLI-000240,SUB-999999,2026-08-06,Cierre de ticket,9,5,Red,Velocidad variable,Web
ENC-000195,CLI-000263,SUB-000263,2026-08-09,Alta,8,5,Atención,Atención satisfactoria,SMS
ENC-000196,CLI-000286,SUB-000286,2026-08-12,Cambio de plan,2,2,Producto,Plan adecuado,App
ENC-000197,CLI-000309,SUB-000309,2026-08-01,Periódica,1,1,Facturación,Cobro claro,Web
ENC-000198,CLI-000332,SUB-000332,2026-08-04,Cierre de ticket,6,4,App,App fácil de usar,SMS
ENC-000199,CLI-000355,SUB-000355,2026-08-07,Alta,0,1,Red,Cobertura insuficiente,App
ENC-000200,CLI-999999,SUB-000378,2026-08-10,Cambio de plan,10,5,Red,Velocidad variable,Web
ENC-000201,CLI-000401,SUB-000401,2026-08-13,Periódica,4,3,Atención,Atención satisfactoria,SMS
ENC-000202,CLI-000424,SUB-000424,2026-08-02,Cierre de ticket,3,2,Producto,Plan adecuado,App
ENC-000203,CLI-000447,SUB-000447,2026-08-05,Alta,8,5,Facturación,Cobro claro,Web
ENC-000204,CLI-000470,SUB-000470,2026-08-08,Cambio de plan,2,2,App,App fácil de usar,SMS
ENC-000205,CLI-000493,SUB-000493,2026-08-11,Periódica,1,1,Red,Cobertura insuficiente,App
ENC-000206,CLI-000516,SUB-000516,2026-08-14,Cierre de ticket,6,4,Red,Velocidad variable,Web
ENC-000207,CLI-000539,SUB-000539,2026-08-03,Alta,5,3,Atención,Atención satisfactoria,SMS
ENC-000208,CLI-000562,SUB-000562,2026-08-06,Cambio de plan,10,5,Producto,Plan adecuado,App
ENC-000209,CLI-000585,SUB-000585,2026-08-09,Periódica,4,3,Facturación,Cobro claro,Web
ENC-000210,CLI-000608,SUB-000608,2026-08-12,Cierre de ticket,3,2,App,App fácil de usar,SMS
ENC-000211,CLI-000631,SUB-000631,2026-08-01,Alta,8,5,Red,Cobertura insuficiente,App
ENC-000211,CLI-000654,SUB-000654,2026-08-04,Cambio de plan,7,4,Red,Velocidad variable,Web
ENC-000213,CLI-000677,SUB-000677,2026-08-07,Periódica,1,1,Atención,Atención satisfactoria,SMS
ENC-000214,CLI-000700,SUB-000700,2026-08-10,Cierre de ticket,6,4,Producto,Plan adecuado,App
ENC-000215,CLI-000723,SUB-000723,2026-08-13,Alta,5,3,Facturación,Cobro claro,Web
ENC-000216,CLI-000746,SUB-000746,2026-08-02,Cambio de plan,10,5,App,App fácil de usar,SMS
ENC-000217,CLI-000769,SUB-000769,2026-08-05,Periódica,9,5,Red,Cobertura insuficiente,App
ENC-000218,CLI-000792,SUB-000792,2026-08-08,Cierre de ticket,3,2,Red,Velocidad variable,Web
ENC-000219,CLI-000815,SUB-000815,2026-08-11,Alta,8,5,Atención,Atención satisfactoria,SMS
ENC-000220,CLI-000838,SUB-000838,2026-08-14,Cambio de plan,7,4,Producto,Plan adecuado,App
ENC-000221,CLI-000861,SUB-000861,2026-08-03,Periódica,1,1,Facturación,Cobro claro,Web
ENC-000222,CLI-000884,SUB-000884,2026-08-06,Cierre de ticket,0,1,App,App fácil de usar,SMS
ENC-000223,CLI-000907,SUB-000907,2026-08-09,Alta,5,3,Red,Cobertura insuficiente,App
ENC-000224,CLI-000930,SUB-000930,2026-08-12,Cambio de plan,10,5,Red,Velocidad variable,Web
ENC-000225,CLI-000953,SUB-000953,2026-08-01,Periódica,9,5,Atención,Atención satisfactoria,SMS
ENC-000226,CLI-000976,SUB-000976,2026-08-04,Cierre de ticket,3,2,Producto,Plan adecuado,App
ENC-000227,CLI-000999,SUB-000999,2026-08-07,Alta,2,2,Facturación,Cobro claro,Web
ENC-000228,CLI-001022,SUB-001022,2026-08-10,Cambio de plan,7,4,App,App fácil de usar,SMS
ENC-000229,CLI-001045,SUB-001045,2026-08-13,Periódica,1,1,Red,Cobertura insuficiente,App
ENC-000230,CLI-001068,SUB-001068,2026-08-02,Cierre de ticket,0,1,Red,Velocidad variable,Web
ENC-000231,CLI-001091,SUB-001091,2026-08-05,Alta,5,3,Atención,Atención satisfactoria,SMS
ENC-000232,CLI-001114,SUB-001114,2026-08-08,Cambio de plan,4,3,Producto,Plan adecuado,App
ENC-000233,CLI-001137,SUB-001137,2026-08-11,Periódica,9,5,Facturación,Cobro claro,Web
ENC-000234,CLI-001160,SUB-001160,2026-08-14,Cierre de ticket,3,2,App,App fácil de usar,SMS
ENC-000235,CLI-001183,SUB-001183,2026-08-03,Alta,2,2,Red,Cobertura insuficiente,App
ENC-000236,CLI-001206,SUB-001206,2026-08-06,Cambio de plan,7,4,Red,Velocidad variable,Web
ENC-000237,CLI-001229,SUB-001229,2026-08-09,Periódica,6,4,Atención,Atención satisfactoria,SMS
ENC-000238,CLI-001252,SUB-001252,2026-08-12,Cierre de ticket,0,1,Producto,Plan adecuado,App
ENC-000239,CLI-001275,SUB-001275,2026-08-01,Alta,5,3,Facturación,Cobro claro,Web
ENC-000240,CLI-001298,SUB-001298,2026-08-04,Cambio de plan,4,3,App,App fácil de usar,SMS
ENC-000241,CLI-001321,SUB-001321,2026-08-07,Periódica,9,5,Red,Cobertura insuficiente,App
ENC-000242,CLI-001344,SUB-001344,2026-08-10,Cierre de ticket,8,5,Red,Velocidad variable,Web
ENC-000243,CLI-001367,SUB-001367,2026-08-13,Alta,2,2,Atención,Atención satisfactoria,SMS
ENC-000244,CLI-001390,SUB-001390,2026-08-02,Cambio de plan,7,4,Producto,Plan adecuado,App
ENC-000245,CLI-001413,SUB-001413,2026-08-05,Periódica,6,4,Facturación,Cobro claro,Web
ENC-000246,CLI-001436,SUB-001436,2026-08-08,Cierre de ticket,0,1,App,App fácil de usar,SMS
ENC-000247,CLI-001459,SUB-001459,2026-08-11,Alta,10,5,Red,Cobertura insuficiente,App
ENC-000248,CLI-001482,SUB-001482,2026-08-14,Cambio de plan,4,3,Red,Velocidad variable,Web
ENC-000249,CLI-001505,SUB-001505,2026-08-03,Periódica,9,5,Atención,Atención satisfactoria,SMS
ENC-000250,CLI-001528,SUB-001528,2026-08-06,Cierre de ticket,8,5,Producto,Plan adecuado,App
ENC-000251,CLI-001551,SUB-001551,2026-08-09,Alta,2,2,Facturación,Cobro claro,Web
ENC-000252,CLI-001574,SUB-001574,2026-08-12,Cambio de plan,1,1,App,App fácil de usar,SMS
ENC-000253,CLI-001597,SUB-001597,2026-08-01,Periódica,6,4,Red,Cobertura insuficiente,App
ENC-000254,CLI-001620,SUB-001620,2026-08-04,Cierre de ticket,0,1,Red,Velocidad variable,Web
ENC-000255,CLI-001643,SUB-001643,2026-08-07,Alta,10,5,Atención,Atención satisfactoria,SMS
ENC-000256,CLI-001666,SUB-001666,2026-08-10,Cambio de plan,4,3,Producto,Plan adecuado,App
ENC-000257,CLI-001689,SUB-001689,2026-08-13,Periódica,3,2,Facturación,Cobro claro,Web
ENC-000258,CLI-001712,SUB-001712,2026-08-02,Cierre de ticket,8,5,App,App fácil de usar,SMS
