ticket_id,customer_id,subscription_id,cell_id,created_at,resolved_at,category,severity,ticket_status,channel,first_contact_resolution,sla_target_hours,resolution_hours,post_service_csat
TKT-000034,CLI-000562,SUB-000562,,2026-08-01 06:48:39,2026-08-03 12:48:39,Facturación,Media,Cerrado,Tienda,true,24,53.67,3
TKT-000035,CLI-000579,SUB-000579,,2026-08-01 07:01:02,2026-08-02 07:01:02,Plan,Media,Cerrado,WhatsApp,true,24,23.69,4
TKT-000036,CLI-000596,SUB-000596,,2026-08-01 07:13:25,2026-08-01 22:13:25,Portabilidad,Baja,Resuelto,App,true,72,14.12,5
TKT-000037,CLI-000613,SUB-000613,CEL-00152,2026-08-01 07:25:48,2026-08-02 02:25:48,Cobertura,Crítica,Resuelto,Web,false,4,18.69,
TKT-000038,CLI-000630,SUB-000630,CEL-00091,2026-08-01 07:38:11,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000039,CLI-000647,SUB-000647,CEL-00030,2026-08-01 07:50:34,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000040,CLI-000664,SUB-000664,,2026-08-01 08:02:57,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000041,CLI-000681,SUB-000681,,2026-08-01 08:15:20,2026-08-03 12:15:20,Plan,Media,Cerrado,App,true,24,51.52,
TKT-000042,CLI-000698,SUB-000698,,2026-08-01 08:27:43,2026-08-03 20:27:43,Portabilidad,Baja,Cerrado,Web,true,72,59.23,2
TKT-000043,CLI-000715,SUB-000715,CEL-00146,2026-08-01 08:40:06,2026-08-03 15:40:06,Cobertura,Crítica,Cerrado,Call center,true,4,54.89,2
TKT-000044,CLI-000732,SUB-000732,CEL-00085,2026-08-01 08:52:29,2026-08-02 01:52:29,Velocidad,Alta,Cerrado,Tienda,true,8,16.42,5
TKT-000045,CLI-000749,SUB-000749,CEL-00024,2026-08-01 09:04:52,2026-08-03 19:04:52,Llamadas,Alta,Cerrado,WhatsApp,true,8,57.98,
TKT-000046,CLI-000766,SUB-000766,,2026-08-01 09:17:15,2026-08-03 03:17:15,Facturación,Media,Resuelto,App,true,24,41.88,3
TKT-000047,CLI-000783,SUB-000783,,2026-08-01 09:29:38,2026-08-03 18:29:38,Plan,Media,Resuelto,Web,false,24,56.73,2
TKT-000048,CLI-000800,SUB-000800,,2026-08-01 09:42:01,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000049,CLI-000817,SUB-000817,CEL-00140,2026-08-01 09:54:24,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000050,CLI-000834,SUB-000834,CEL-00079,2026-08-01 10:06:47,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000051,CLI-000851,SUB-000851,CEL-00018,2026-08-01 10:19:10,2026-08-04 01:19:10,Llamadas,Alta,Cerrado,App,true,8,62.41,2
TKT-000052,CLI-000868,SUB-000868,,2026-08-01 10:31:33,2026-08-02 00:31:33,Facturación,Media,Cerrado,Web,true,24,13.65,5
TKT-000053,CLI-000885,SUB-000885,,2026-08-01 10:43:56,2026-08-02 20:43:56,Plan,Media,Cerrado,Call center,true,24,33.85,
TKT-000054,CLI-000902,SUB-000902,,2026-08-01 10:56:19,2026-08-02 00:56:19,Portabilidad,Baja,Cerrado,Tienda,true,72,13.33,5
TKT-000055,CLI-000919,SUB-000919,CEL-00134,2026-08-01 11:08:42,2026-08-03 17:08:42,Cobertura,Crítica,Cerrado,WhatsApp,true,4,53.56,3
TKT-000056,CLI-000936,SUB-000936,CEL-00073,2026-08-01 11:21:05,2026-08-02 08:21:05,Velocidad,Alta,Resuelto,App,true,8,20.48,4
TKT-000057,CLI-000953,SUB-000953,CEL-00012,2026-08-01 11:33:28,2026-08-03 00:33:28,Llamadas,Alta,Resuelto,Web,false,8,36.97,
TKT-000058,CLI-000970,SUB-000970,,2026-08-01 11:45:51,,Facturación,Media,En progreso,Call center,,24,,
TKT-000059,CLI-000987,SUB-000987,,2026-08-01 11:58:14,,Plan,Media,En progreso,Tienda,,24,,
TKT-000060,CLI-001004,SUB-001004,,2026-08-01 12:10:37,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000061,CLI-001021,SUB-001021,CEL-00128,2026-08-01 12:23:00,2026-08-03 21:23:00,Cobertura,Crítica,Cerrado,App,true,4,56.16,
TKT-000062,CLI-001038,SUB-001038,CEL-00067,2026-08-01 12:35:23,2026-08-03 18:35:23,Velocidad,Alta,Cerrado,Web,true,8,53.99,3
TKT-000063,CLI-001055,SUB-001055,CEL-00006,2026-08-01 12:47:46,2026-08-03 06:47:46,Llamadas,Alta,Cerrado,Call center,true,8,41.88,3
TKT-000064,CLI-001072,SUB-001072,,2026-08-01 13:00:09,2026-08-04 01:00:09,Facturación,Media,Cerrado,Tienda,true,24,59.11,2
TKT-000065,CLI-001089,SUB-001089,,2026-08-01 13:12:32,2026-08-04 05:12:32,Plan,Media,Cerrado,WhatsApp,true,24,63.09,
TKT-000066,CLI-001106,SUB-001106,,2026-08-01 13:24:55,2026-08-04 13:24:55,Portabilidad,Baja,Resuelto,App,true,72,71.73,2
TKT-000067,CLI-001123,SUB-001123,CEL-00122,2026-08-01 13:37:18,2026-08-02 01:37:18,Cobertura,Crítica,Resuelto,Web,false,4,11.66,5
TKT-000068,CLI-001140,SUB-001140,CEL-00061,2026-08-01 13:49:41,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000069,CLI-001157,SUB-001157,CEL-00180,2026-08-01 14:02:04,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000070,CLI-001174,SUB-001174,,2026-08-01 14:14:27,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000071,CLI-001191,SUB-001191,,2026-08-01 14:26:50,2026-08-04 07:26:50,Plan,Media,Cerrado,App,true,24,64.53,2
TKT-000072,CLI-001208,SUB-001208,,2026-08-01 14:39:13,2026-08-01 22:39:13,Portabilidad,Baja,Cerrado,Web,true,72,7.86,5
TKT-000073,CLI-001225,SUB-001225,CEL-00116,2026-08-01 14:51:36,2026-08-04 05:51:36,Cobertura,Crítica,Cerrado,Call center,true,4,62.65,
TKT-000074,CLI-001242,SUB-001242,CEL-00055,2026-08-01 15:03:59,2026-08-03 11:03:59,Velocidad,Alta,Cerrado,Tienda,true,8,43.96,3
TKT-000075,CLI-001259,SUB-001259,CEL-00174,2026-08-01 15:16:22,2026-08-03 03:16:22,Llamadas,Alta,Cerrado,WhatsApp,true,8,35.93,4
TKT-000076,CLI-001276,SUB-001276,,2026-08-01 15:28:45,2026-08-02 13:28:45,Facturación,Media,Resuelto,App,true,24,21.24,4
TKT-000077,CLI-001293,SUB-001293,,2026-08-01 15:41:08,2026-08-04 11:41:08,Plan,Media,Resuelto,Web,false,24,67.46,
TKT-000078,CLI-001310,SUB-001310,,2026-08-01 15:53:31,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000079,CLI-001327,SUB-001327,CEL-00110,2026-08-01 16:05:54,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000080,CLI-001344,SUB-001344,CEL-00049,2026-08-01 16:18:17,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000081,CLI-001361,SUB-001361,CEL-00168,2026-08-01 16:30:40,2026-08-03 21:30:40,Llamadas,Alta,Cerrado,App,true,8,52.3,
TKT-000082,CLI-001378,SUB-001378,,2026-08-01 16:43:03,2026-08-03 02:43:03,Facturación,Media,Cerrado,Web,true,24,33.96,4
TKT-000083,CLI-001395,SUB-001395,,2026-08-01 16:55:26,2026-08-01 22:55:26,Plan,Media,Cerrado,Call center,true,24,5.86,5
TKT-000084,CLI-001412,SUB-001412,,2026-08-01 17:07:49,2026-08-03 10:07:49,Portabilidad,Baja,Cerrado,Tienda,true,72,40.81,3
TKT-000085,CLI-001429,SUB-001429,CEL-00104,2026-08-01 17:20:12,2026-08-03 08:20:12,Cobertura,Crítica,Cerrado,WhatsApp,true,4,38.71,
TKT-000086,CLI-001446,SUB-001446,CEL-00043,2026-08-01 17:32:35,2026-08-03 16:32:35,Velocidad,Alta,Resuelto,App,true,8,46.46,3
TKT-000087,CLI-001463,SUB-001463,CEL-00162,2026-08-01 17:44:58,2026-08-04 10:44:58,Llamadas,Alta,Resuelto,Web,false,8,64.11,2
TKT-000088,CLI-001480,SUB-001480,,2026-08-01 17:57:21,,Facturación,Media,En progreso,Call center,,24,,
TKT-000089,CLI-001497,SUB-001497,,2026-08-01 18:09:44,,Plan,Media,En progreso,Tienda,,24,,
TKT-000090,CLI-001514,SUB-001514,,2026-08-01 18:22:07,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000091,CLI-001531,SUB-001531,CEL-00098,2026-08-01 18:34:30,2026-08-02 03:34:30,Cobertura,Crítica,Cerrado,App,true,4,8.93,5
TKT-000092,CLI-001548,SUB-001548,CEL-00037,2026-08-01 18:46:53,2026-08-04 02:46:53,Velocidad,Alta,Cerrado,Web,true,8,55.99,2
TKT-000093,CLI-001565,SUB-001565,CEL-00156,2026-08-01 18:59:16,2026-08-02 09:59:16,Llamadas,Alta,Cerrado,Call center,true,8,14.26,
TKT-000094,CLI-001582,SUB-001582,,2026-08-01 19:11:39,2026-08-02 02:11:39,Facturación,Media,Cerrado,Tienda,true,24,6.39,5
TKT-000095,CLI-001599,SUB-001599,,2026-08-01 19:24:02,2026-08-02 10:24:02,Plan,Media,Cerrado,WhatsApp,true,24,14.41,5
TKT-000096,CLI-001616,SUB-001616,,2026-08-01 19:36:25,2026-08-03 06:36:25,Portabilidad,Baja,Resuelto,App,true,72,34.68,4
TKT-000097,CLI-001633,SUB-001633,CEL-00092,2026-08-01 19:48:48,2026-08-04 12:48:48,Cobertura,Crítica,Resuelto,Web,false,4,64.15,
TKT-000098,CLI-001650,SUB-001650,CEL-00031,2026-08-01 20:01:11,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000099,CLI-001667,SUB-001667,CEL-00150,2026-08-01 20:13:34,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000100,CLI-001684,SUB-001684,,2026-08-01 20:25:57,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000101,CLI-001701,SUB-001701,,2026-08-01 20:38:20,2026-08-04 06:38:20,Plan,Media,Cerrado,App,true,24,57.37,
TKT-000102,CLI-001718,SUB-001718,,2026-08-01 20:50:43,2026-08-03 05:50:43,Portabilidad,Baja,Cerrado,Web,true,72,32.91,4
TKT-000103,CLI-001735,SUB-001735,CEL-00086,2026-08-01 21:03:06,2026-08-02 04:03:06,Cobertura,Crítica,Cerrado,Call center,true,4,6.73,5
TKT-000104,CLI-001752,SUB-001752,CEL-00025,2026-08-01 21:15:29,2026-08-02 22:15:29,Velocidad,Alta,Cerrado,Tienda,true,8,24.3,4
TKT-000105,CLI-001769,SUB-001769,CEL-00144,2026-08-01 21:27:52,2026-08-03 18:27:52,Llamadas,Alta,Cerrado,WhatsApp,true,8,44.76,
TKT-000106,CLI-001786,SUB-001786,,2026-08-01 21:40:15,2026-08-04 01:40:15,Facturación,Media,Resuelto,App,true,24,51.02,3
TKT-000107,CLI-001803,SUB-001803,,2026-08-01 21:52:38,2026-08-03 12:52:38,Plan,Media,Resuelto,Web,false,24,38.15,3
TKT-000108,CLI-001820,SUB-001820,,2026-08-01 22:05:01,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000109,CLI-001837,SUB-001837,CEL-00080,2026-08-01 22:17:24,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000110,CLI-001854,SUB-001854,CEL-00019,2026-08-01 22:29:47,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000111,CLI-001871,SUB-001871,CEL-00138,2026-08-01 22:42:10,2026-08-04 16:42:10,Llamadas,Alta,Cerrado,App,true,8,65.81,2
TKT-000112,CLI-001888,SUB-001888,,2026-08-01 22:54:33,2026-08-03 18:54:33,Facturación,Media,Cerrado,Web,true,24,43.08,3
TKT-000113,CLI-001905,SUB-001905,,2026-08-01 23:06:56,2026-08-02 05:06:56,Plan,Media,Cerrado,Call center,true,24,5.5,
TKT-000114,CLI-001922,SUB-001922,,2026-08-01 23:19:19,2026-08-02 17:19:19,Portabilidad,Baja,Cerrado,Tienda,true,72,17.13,5
TKT-000115,CLI-001939,SUB-001939,CEL-00074,2026-08-01 23:31:42,2026-08-04 01:31:42,Cobertura,Crítica,Cerrado,WhatsApp,true,4,49.83,3
TKT-000116,CLI-001956,SUB-001956,CEL-00013,2026-08-01 23:44:05,2026-08-02 22:44:05,Velocidad,Alta,Resuelto,App,true,8,22.36,4
TKT-000117,CLI-001973,SUB-001973,CEL-00132,2026-08-01 23:56:28,2026-08-04 09:56:28,Llamadas,Alta,Resuelto,Web,false,8,57.33,
TKT-000118,CLI-001990,SUB-001990,,2026-08-02 00:08:51,,Facturación,Media,En progreso,Call center,,24,,
TKT-000119,CLI-002007,SUB-002007,,2026-08-02 00:21:14,,Plan,Media,En progreso,Tienda,,24,,
TKT-000120,CLI-002024,SUB-002024,,2026-08-02 00:33:37,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000121,CLI-002041,SUB-002041,CEL-00068,2026-08-02 00:46:00,2026-08-02 23:46:00,Cobertura,Crítica,Cerrado,App,true,4,22.63,
TKT-000122,CLI-002058,SUB-002058,CEL-00007,2026-08-02 00:58:23,2026-08-03 13:58:23,Velocidad,Alta,Cerrado,Web,true,8,36.48,3
TKT-000123,CLI-002075,SUB-002075,CEL-00126,2026-08-02 01:10:46,2026-08-03 08:10:46,Llamadas,Alta,Cerrado,Call center,true,8,30.97,4
TKT-000124,CLI-002092,SUB-002092,,2026-08-02 01:23:09,2026-08-03 00:23:09,Facturación,Media,Cerrado,Tienda,true,24,22.38,4
TKT-000125,CLI-002109,SUB-002109,,2026-08-02 01:35:32,2026-08-02 07:35:32,Plan,Media,Cerrado,WhatsApp,true,24,5.96,
TKT-000126,CLI-002126,SUB-002126,,2026-08-02 01:47:55,2026-08-03 02:47:55,Portabilidad,Baja,Resuelto,App,true,72,24.36,4
TKT-000127,CLI-002143,SUB-002143,CEL-00062,2026-08-02 02:00:18,2026-08-02 07:00:18,Cobertura,Crítica,Resuelto,Web,false,4,4.48,5
TKT-000128,CLI-002160,SUB-002160,CEL-00001,2026-08-02 02:12:41,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000129,CLI-002177,SUB-002177,CEL-00120,2026-08-02 02:25:04,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000130,CLI-002194,SUB-002194,,2026-08-02 02:37:27,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000131,CLI-002211,SUB-002211,,2026-08-02 02:49:50,2026-08-04 04:49:50,Plan,Media,Cerrado,App,true,24,49.65,3
TKT-000132,CLI-002228,SUB-002228,,2026-08-02 03:02:13,2026-08-04 01:02:13,Portabilidad,Baja,Cerrado,Web,true,72,45.72,3
TKT-000133,CLI-002245,SUB-002245,CEL-00056,2026-08-02 03:14:36,2026-08-04 07:14:36,Cobertura,Crítica,Cerrado,Call center,true,4,51.04,
TKT-000134,CLI-002262,SUB-002262,CEL-00175,2026-08-02 03:26:59,2026-08-02 20:26:59,Velocidad,Alta,Cerrado,Tienda,true,8,16.32,5
TKT-000135,CLI-002279,SUB-002279,CEL-00114,2026-08-02 03:39:22,2026-08-03 03:39:22,Llamadas,Alta,Cerrado,WhatsApp,true,8,23.96,4
TKT-000136,CLI-002296,SUB-002296,,2026-08-02 03:51:45,2026-08-02 22:51:45,Facturación,Media,Resuelto,App,true,24,18.95,4
TKT-000137,CLI-002313,SUB-002313,,2026-08-02 04:04:08,2026-08-03 08:04:08,Plan,Media,Resuelto,Web,false,24,27.38,
TKT-000138,CLI-002330,SUB-002330,,2026-08-02 04:16:31,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000139,CLI-002347,SUB-002347,CEL-00050,2026-08-02 04:28:54,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000140,CLI-002364,SUB-002364,CEL-00169,2026-08-02 04:41:17,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000141,CLI-002381,SUB-002381,CEL-00108,2026-08-02 04:53:40,2026-08-03 12:53:40,Llamadas,Alta,Cerrado,App,true,8,31.72,
TKT-000142,CLI-002398,SUB-002398,,2026-08-02 05:06:03,2026-08-03 08:06:03,Facturación,Media,Cerrado,Web,true,24,26.16,4
TKT-000143,CLI-002415,SUB-002415,,2026-08-02 05:18:26,2026-08-04 23:18:26,Plan,Media,Cerrado,Call center,true,24,65.7,2
TKT-000144,CLI-002432,SUB-002432,,2026-08-02 05:30:49,2026-08-02 23:30:49,Portabilidad,Baja,Cerrado,Tienda,true,72,17.08,5
TKT-000145,CLI-002449,SUB-002449,CEL-00044,2026-08-02 05:43:12,2026-08-03 23:43:12,Cobertura,Crítica,Cerrado,WhatsApp,true,4,41.34,
TKT-000146,CLI-002466,SUB-002466,CEL-00163,2026-08-02 05:55:35,2026-08-02 14:55:35,Velocidad,Alta,Resuelto,App,true,8,8.05,5
TKT-000147,CLI-002483,SUB-002483,CEL-00102,2026-08-02 06:07:58,2026-08-04 05:07:58,Llamadas,Alta,Resuelto,Web,false,8,46.06,3
TKT-000148,CLI-002500,SUB-002500,,2026-08-02 06:20:21,,Facturación,Media,En progreso,Call center,,24,,
TKT-000149,CLI-002517,SUB-002517,,2026-08-02 06:32:44,,Plan,Media,En progreso,Tienda,,24,,
TKT-000150,CLI-002534,SUB-002534,,2026-08-02 06:45:07,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000151,CLI-002551,SUB-002551,CEL-00038,2026-08-02 06:57:30,2026-08-02 09:57:30,Cobertura,Crítica,Cerrado,App,true,4,2.79,5
TKT-000152,CLI-002568,SUB-002568,CEL-00157,2026-08-02 07:09:53,2026-08-02 15:09:53,Velocidad,Alta,Cerrado,Web,true,8,7.92,5
TKT-000153,CLI-002585,SUB-002585,CEL-00096,2026-08-02 07:22:16,2026-08-04 06:22:16,Llamadas,Alta,Cerrado,Call center,true,8,46.59,
TKT-000154,CLI-002602,SUB-002602,,2026-08-02 07:34:39,2026-08-03 17:34:39,Facturación,Media,Cerrado,Tienda,true,24,33.5,4
TKT-000155,CLI-002619,SUB-002619,,2026-08-02 07:47:02,2026-08-02 11:47:02,Plan,Media,Cerrado,WhatsApp,true,24,3.25,5
TKT-000156,CLI-002636,SUB-002636,,2026-08-02 07:59:25,2026-08-03 04:59:25,Portabilidad,Baja,Resuelto,App,true,72,20.4,4
TKT-000157,CLI-002653,SUB-002653,CEL-00032,2026-08-02 08:11:48,2026-08-03 06:11:48,Cobertura,Crítica,Resuelto,Web,false,4,21.49,
TKT-000158,CLI-002670,SUB-002670,CEL-00151,2026-08-02 08:24:11,,Velocidad,Alta,En progreso,Call center,,8,,
TKT-000159,CLI-002687,SUB-002687,CEL-00090,2026-08-02 08:36:34,,Llamadas,Alta,En progreso,Tienda,,8,,
TKT-000160,CLI-002704,SUB-002704,,2026-08-02 08:48:57,,Facturación,Media,Abierto,WhatsApp,,24,,
TKT-000161,CLI-002721,SUB-002721,,2026-08-02 09:01:20,2026-08-04 23:01:20,Plan,Media,Cerrado,App,true,24,61.05,
TKT-000162,CLI-002738,SUB-002738,,2026-08-02 09:13:43,2026-08-04 11:13:43,Portabilidad,Baja,Cerrado,Web,true,72,49.72,3
TKT-000163,CLI-002755,SUB-002755,CEL-00026,2026-08-02 09:26:06,2026-08-03 21:26:06,Cobertura,Crítica,Cerrado,Call center,true,4,35.58,4
TKT-000164,CLI-002772,SUB-002772,CEL-00145,2026-08-02 09:38:29,2026-08-03 16:38:29,Velocidad,Alta,Cerrado,Tienda,true,8,30.72,4
TKT-000165,CLI-002789,SUB-002789,CEL-00084,2026-08-02 09:50:52,2026-08-05 04:50:52,Llamadas,Alta,Cerrado,WhatsApp,true,8,66.89,
TKT-000166,CLI-002806,SUB-002806,,2026-08-02 10:03:15,2026-08-05 07:03:15,Facturación,Media,Resuelto,App,true,24,68.42,2
TKT-000167,CLI-002823,SUB-002823,,2026-08-02 10:15:38,2026-08-04 22:15:38,Plan,Media,Resuelto,Web,false,24,59.72,2
TKT-000168,CLI-002840,SUB-002840,,2026-08-02 10:28:01,,Portabilidad,Baja,En progreso,Call center,,72,,
TKT-000169,CLI-002857,SUB-002857,CEL-00020,2026-08-02 10:40:24,,Cobertura,Crítica,En progreso,Tienda,,4,,
TKT-000170,CLI-002874,SUB-002874,CEL-00139,2026-08-02 10:52:47,,Velocidad,Alta,Abierto,WhatsApp,,8,,
TKT-000171,CLI-002891,SUB-002891,CEL-00078,2026-08-02 11:05:10,2026-08-04 01:05:10,Llamadas,Alta,Cerrado,App,true,8,37.83,3
TKT-000172,CLI-002908,SUB-002908,,2026-08-02 11:17:33,2026-08-04 01:17:33,Facturación,Media,Cerrado,Web,true,24,37.51,3
TKT-000173,CLI-002925,SUB-002925,,2026-08-02 11:29:56,2026-08-03 15:29:56,Plan,Media,Cerrado,Call center,true,24,27.18,
TKT-000174,CLI-002942,SUB-002942,,2026-08-02 11:42:19,2026-08-02 16:42:19,Portabilidad,Baja,Cerrado,Tienda,true,72,4.28,5
TKT-000175,CLI-002959,SUB-002959,CEL-00014,2026-08-02 11:54:42,2026-08-04 18:54:42,Cobertura,Crítica,Cerrado,WhatsApp,true,4,54.41,2
TKT-000176,CLI-002976,SUB-002976,CEL-00133,2026-08-02 12:07:05,2026-08-03 08:07:05,Velocidad,Alta,Resuelto,App,true,8,19.79,4
TKT-000177,CLI-002993,SUB-002993,CEL-00072,2026-08-02 12:19:28,2026-08-04 22:19:28,Llamadas,Alta,Resuelto,Web,false,8,57.76,
TKT-000178,CLI-000010,SUB-003010,,2026-08-02 12:31:51,,Facturación,Media,En progreso,Call center,,24,,
TKT-000179,CLI-000027,SUB-003027,,2026-08-02 12:44:14,,Plan,Media,En progreso,Tienda,,24,,
TKT-000180,CLI-000044,SUB-003044,,2026-08-02 12:56:37,,Portabilidad,Baja,Abierto,WhatsApp,,72,,
TKT-000181,CLI-000061,SUB-003061,CEL-00008,2026-08-02 13:09:00,2026-08-04 11:09:00,Cobertura,Crítica,Cerrado,App,true,4,45.25,
TKT-000182,CLI-000078,SUB-003078,CEL-00127,2026-08-02 13:21:23,2026-08-03 21:21:23,Velocidad,Alta,Cerrado,Web,true,8,31.68,4
TKT-000183,CLI-000095,SUB-003095,CEL-00066,2026-08-02 13:33:46,2026-08-02 18:33:46,Llamadas,Alta,Cerrado,Call center,true,8,4.68,5
TKT-000184,CLI-000112,SUB-003112,,2026-08-02 13:46:09,2026-08-05 07:46:09,Facturación,Media,Cerrado,Tienda,true,24,65.71,2
