subscription_id,customer_id,product_id,line_id,start_date,end_date,subscription_status,contract_type,is_port_in,is_esim,autopay_enabled,monthly_fee_clp,billing_day
SUB-000063,CLI-000063,PRD-010,LIN-000063,2023-12-04,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000064,CLI-000064,PRD-005,LIN-000064,2024-01-02,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000065,CLI-000065,PRD-012,LIN-000065,2024-01-31,,Activa,24 meses,false,false,true,33240.50,1
SUB-000066,CLI-000066,PRD-007,LIN-000066,2024-02-29,,Activa,12 meses,false,false,true,14391.00,8
SUB-000067,CLI-000067,PRD-002,LIN-000067,2024-03-29,,Activa,Prepago,false,false,false,7990.00,
SUB-000068,CLI-000068,PRD-009,LIN-000068,2024-04-27,,Activa,Sin permanencia,false,false,false,20890.50,22
SUB-000069,CLI-000069,PRD-004,LIN-000069,2024-05-26,,Activa,Prepago,false,false,false,11691.00,
SUB-000070,CLI-000070,PRD-015,LIN-000070,2024-06-24,,Activa,12 meses,false,false,false,44990.00,8
SUB-000071,CLI-000071,PRD-006,LIN-000071,2024-07-23,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000072,CLI-000072,PRD-001,LIN-000072,2024-08-21,,Activa,Prepago,true,false,false,5391.00,
SUB-000073,CLI-000073,PRD-008,LIN-000073,2024-09-19,,Activa,24 meses,true,true,true,18990.00,1
SUB-000074,CLI-000074,PRD-003,LIN-000074,2024-10-18,,Activa,Prepago,true,false,false,9490.50,
SUB-000075,CLI-000075,PRD-010,LIN-000075,2024-11-16,,Activa,Sin permanencia,false,false,true,23391.00,15
SUB-000076,CLI-000076,PRD-005,LIN-000076,2024-12-15,,Activa,Sin permanencia,false,false,true,9990.00,22
SUB-000077,CLI-000077,PRD-012,LIN-000077,2025-01-13,,Activa,24 meses,false,false,false,33240.50,1
SUB-000078,CLI-000078,PRD-007,LIN-000078,2025-02-11,,Activa,12 meses,false,false,false,14391.00,8
SUB-000079,CLI-000079,PRD-002,LIN-000079,2025-03-12,,Activa,Prepago,false,false,false,7990.00,
SUB-000080,CLI-000080,PRD-013,LIN-000080,2025-04-10,,Activa,Sin permanencia,false,false,false,18990.50,22
SUB-000081,CLI-000081,PRD-004,LIN-000081,2025-05-09,,Activa,Prepago,true,false,false,11691.00,
SUB-000082,CLI-000082,PRD-011,LIN-000082,2025-06-07,,Activa,12 meses,true,true,true,29990.00,8
SUB-000083,CLI-000083,PRD-006,LIN-000083,2025-07-06,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000084,CLI-000084,PRD-001,LIN-000084,2025-08-04,2026-04-02,Baja,Prepago,true,false,false,5391.00,
SUB-000085,CLI-000085,PRD-008,LIN-000085,2025-09-02,,Activa,24 meses,false,false,true,18990.00,1
SUB-000086,CLI-000086,PRD-003,LIN-000086,2025-10-01,,Activa,Prepago,false,false,false,9490.50,
SUB-000087,CLI-000087,PRD-010,LIN-000087,2025-10-30,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000088,CLI-000088,PRD-005,LIN-000088,2025-11-28,,Activa,Sin permanencia,false,false,false,9990.00,22
SUB-000089,CLI-000089,PRD-012,LIN-000089,2025-12-27,,Activa,24 meses,false,false,false,33240.50,1
SUB-000090,CLI-000090,PRD-015,LIN-000090,2026-01-25,,Activa,12 meses,false,false,false,40491.00,8
SUB-000091,CLI-000091,PRD-002,LIN-000091,2026-02-23,,Activa,Prepago,true,false,false,7990.00,
SUB-000092,CLI-000092,PRD-009,LIN-000092,2026-03-24,,Activa,Sin permanencia,true,true,true,20890.50,22
SUB-000093,CLI-000093,PRD-004,LIN-000093,2026-04-22,,Activa,Prepago,true,false,false,11691.00,
SUB-000094,CLI-000094,PRD-011,LIN-000094,2026-05-21,,Activa,12 meses,true,false,true,29990.00,8
SUB-000095,CLI-000095,PRD-006,LIN-000095,2026-06-19,,Suspendida,Sin permanencia,false,false,true,12340.50,15
SUB-000096,CLI-000096,PRD-001,LIN-000096,2026-07-18,,Activa,Prepago,false,false,false,5391.00,
SUB-000097,CLI-000097,PRD-008,LIN-000097,2019-01-25,,Activa,24 meses,false,false,false,18990.00,1
SUB-000098,CLI-000098,PRD-003,LIN-000098,2019-02-23,,Activa,Prepago,false,false,false,9490.50,
SUB-000099,CLI-000099,PRD-010,LIN-000099,2019-03-24,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000100,CLI-000100,PRD-013,LIN-000100,2019-04-22,,Activa,Sin permanencia,false,false,false,19990.00,22
SUB-000101,CLI-000101,PRD-012,LIN-000101,2019-05-21,,Activa,24 meses,true,true,true,33240.50,1
SUB-000102,CLI-000102,PRD-007,LIN-000102,2019-06-19,,Activa,12 meses,true,true,true,14391.00,8
SUB-000103,CLI-000103,PRD-002,LIN-000103,2019-07-18,,Activa,Prepago,true,false,false,7990.00,
SUB-000104,CLI-000104,PRD-009,LIN-000104,2019-08-16,,Activa,Sin permanencia,true,false,true,20890.50,22
SUB-000105,CLI-000105,PRD-004,LIN-000105,2019-09-14,,Activa,Prepago,false,false,false,11691.00,
SUB-000106,CLI-000106,PRD-011,LIN-000106,2019-10-13,,Activa,12 meses,false,false,true,29990.00,8
SUB-000107,CLI-000107,PRD-006,LIN-000107,2019-11-11,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000108,CLI-000108,PRD-001,LIN-000108,2019-12-10,,Activa,Prepago,false,false,false,5391.00,
SUB-000109,CLI-000109,PRD-008,LIN-000109,2020-01-08,,Activa,24 meses,false,false,false,18990.00,1
SUB-000110,CLI-000110,PRD-015,LIN-000110,2020-02-06,,Activa,12 meses,false,false,false,42740.50,8
SUB-000111,CLI-000111,PRD-010,LIN-000111,2020-03-06,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000112,CLI-000112,PRD-005,LIN-000112,2020-04-04,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000113,CLI-000113,PRD-012,LIN-000113,2020-05-03,,Activa,24 meses,true,true,true,33240.50,1
SUB-000114,CLI-000114,PRD-007,LIN-000114,2020-06-01,,Activa,12 meses,true,false,true,14391.00,8
SUB-000115,CLI-000115,PRD-002,LIN-000115,2020-06-30,,Activa,Prepago,false,false,false,7990.00,
SUB-000116,CLI-000116,PRD-009,LIN-000116,2020-07-29,,Activa,Sin permanencia,false,false,true,20890.50,22
SUB-000117,CLI-000117,PRD-004,LIN-000117,2020-08-27,,Activa,Prepago,false,false,false,11691.00,
SUB-000118,CLI-000118,PRD-011,LIN-000118,2020-09-25,,Activa,12 meses,false,false,false,29990.00,8
SUB-000119,CLI-000119,PRD-006,LIN-000119,2020-10-24,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000120,CLI-000120,PRD-013,LIN-000120,2020-11-22,,Activa,Sin permanencia,false,false,false,17991.00,22
SUB-000121,CLI-000121,PRD-008,LIN-000121,2020-12-21,,Activa,24 meses,true,true,true,18990.00,1
SUB-000122,CLI-000122,PRD-003,LIN-000122,2021-01-19,,Activa,Prepago,true,false,false,9490.50,
SUB-000123,CLI-000123,PRD-010,LIN-000123,2021-02-17,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000124,CLI-000124,PRD-005,LIN-000124,2021-03-18,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000125,CLI-000125,PRD-012,LIN-000125,2021-04-16,,Activa,24 meses,false,false,true,33240.50,1
SUB-000126,CLI-000126,PRD-007,LIN-000126,2021-05-15,,Activa,12 meses,false,false,true,14391.00,8
SUB-000127,CLI-000127,PRD-002,LIN-000127,2021-06-13,,Activa,Prepago,false,false,false,7990.00,
SUB-000128,CLI-000128,PRD-009,LIN-000128,2021-07-12,,Activa,Sin permanencia,false,false,false,20890.50,22
SUB-000129,CLI-000129,PRD-004,LIN-000129,2021-08-10,,Activa,Prepago,false,false,false,11691.00,
SUB-000130,CLI-000130,PRD-015,LIN-000130,2021-09-08,,Activa,12 meses,false,false,false,44990.00,8
SUB-000131,CLI-000131,PRD-006,LIN-000131,2021-10-07,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000132,CLI-000132,PRD-001,LIN-000132,2021-11-05,,Activa,Prepago,true,false,false,5391.00,
SUB-000133,CLI-000133,PRD-008,LIN-000133,2021-12-04,,Activa,24 meses,true,true,true,18990.00,1
SUB-000134,CLI-000134,PRD-003,LIN-000134,2022-01-02,,Activa,Prepago,true,false,false,9490.50,
SUB-000135,CLI-000135,PRD-010,LIN-000135,2022-01-31,,Activa,Sin permanencia,false,false,true,23391.00,15
SUB-000136,CLI-000136,PRD-005,LIN-000136,2022-03-01,,Activa,Sin permanencia,false,false,true,9990.00,22
SUB-000137,CLI-000137,PRD-012,LIN-000137,2022-03-30,,Activa,24 meses,false,false,false,33240.50,1
SUB-000138,CLI-000138,PRD-007,LIN-000138,2022-04-28,,Activa,12 meses,false,false,false,14391.00,8
SUB-000139,CLI-000139,PRD-002,LIN-000139,2022-05-27,,Activa,Prepago,false,false,false,7990.00,
SUB-000140,CLI-000140,PRD-013,LIN-000140,2022-06-25,,Activa,Sin permanencia,false,false,false,18990.50,22
SUB-000141,CLI-000141,PRD-004,LIN-000141,2022-07-24,,Activa,Prepago,true,false,false,11691.00,
SUB-000142,CLI-000142,PRD-011,LIN-000142,2022-08-22,,Suspendida,12 meses,true,true,true,29990.00,8
SUB-000143,CLI-000143,PRD-006,LIN-000143,2022-09-20,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000144,CLI-000144,PRD-001,LIN-000144,2022-10-19,,Activa,Prepago,true,false,false,5391.00,
SUB-000145,CLI-000145,PRD-008,LIN-000145,2022-11-17,,Activa,24 meses,false,false,true,18990.00,1
SUB-000146,CLI-000146,PRD-003,LIN-000146,2022-12-16,,Activa,Prepago,false,false,false,9490.50,
SUB-000147,CLI-000147,PRD-010,LIN-000147,2023-01-14,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000148,CLI-000148,PRD-005,LIN-000148,2023-02-12,,Activa,Sin permanencia,false,false,false,9990.00,22
SUB-000149,CLI-000149,PRD-012,LIN-000149,2023-03-13,,Activa,24 meses,false,false,false,33240.50,1
SUB-000150,CLI-000150,PRD-015,LIN-000150,2023-04-11,,Activa,12 meses,false,false,false,40491.00,8
SUB-000151,CLI-000151,PRD-002,LIN-000151,2023-05-10,,Activa,Prepago,true,false,false,7990.00,
SUB-000152,CLI-000152,PRD-009,LIN-000152,2023-06-08,,Activa,Sin permanencia,true,true,true,20890.50,22
SUB-000153,CLI-000153,PRD-004,LIN-000153,2023-07-07,,Activa,Prepago,true,false,false,11691.00,
SUB-000154,CLI-000154,PRD-011,LIN-000154,2023-08-05,,Activa,12 meses,true,false,true,29990.00,8
SUB-000155,CLI-000155,PRD-006,LIN-000155,2023-09-03,,Activa,Sin permanencia,false,false,true,12340.50,15
SUB-000156,CLI-000156,PRD-001,LIN-000156,2023-10-02,,Activa,Prepago,false,false,false,5391.00,
SUB-000157,CLI-000157,PRD-008,LIN-000157,2023-10-31,,Activa,24 meses,false,false,false,18990.00,1
SUB-000158,CLI-000158,PRD-003,LIN-000158,2023-11-29,,Activa,Prepago,false,false,false,9490.50,
SUB-000159,CLI-000159,PRD-010,LIN-000159,2023-12-28,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000160,CLI-000160,PRD-013,LIN-000160,2024-01-26,,Activa,Sin permanencia,false,false,false,19990.00,22
SUB-000161,CLI-000161,PRD-012,LIN-000161,2024-02-24,,Activa,24 meses,true,true,true,33240.50,1
SUB-000162,CLI-000162,PRD-007,LIN-000162,2024-03-24,,Activa,12 meses,true,true,true,14391.00,8
SUB-000163,CLI-000163,PRD-002,LIN-000163,2024-04-22,,Activa,Prepago,true,false,false,7990.00,
SUB-000164,CLI-000164,PRD-009,LIN-000164,2024-05-21,,Activa,Sin permanencia,true,false,true,20890.50,22
SUB-000165,CLI-000165,PRD-004,LIN-000165,2024-06-19,,Activa,Prepago,false,false,false,11691.00,
SUB-000166,CLI-000166,PRD-011,LIN-000166,2024-07-18,,Activa,12 meses,false,false,true,29990.00,8
SUB-000167,CLI-000167,PRD-006,LIN-000167,2024-08-16,2025-11-11,Baja,Sin permanencia,false,false,false,12340.50,15
SUB-000168,CLI-000168,PRD-001,LIN-000168,2024-09-14,,Activa,Prepago,false,false,false,5391.00,
SUB-000169,CLI-000169,PRD-008,LIN-000169,2024-10-13,,Activa,24 meses,false,false,false,18990.00,1
SUB-000170,CLI-000170,PRD-015,LIN-000170,2024-11-11,,Activa,12 meses,false,false,false,42740.50,8
SUB-000171,CLI-000171,PRD-010,LIN-000171,2024-12-10,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000172,CLI-000172,PRD-005,LIN-000172,2025-01-08,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000173,CLI-000173,PRD-012,LIN-000173,2025-02-06,,Activa,24 meses,true,true,true,33240.50,1
SUB-000174,CLI-000174,PRD-007,LIN-000174,2025-03-07,,Activa,12 meses,true,false,true,14391.00,8
SUB-000175,CLI-000175,PRD-002,LIN-000175,2025-04-05,,Activa,Prepago,false,false,false,7990.00,
SUB-000176,CLI-000176,PRD-009,LIN-000176,2025-05-04,,Activa,Sin permanencia,false,false,true,20890.50,22
SUB-000177,CLI-000177,PRD-004,LIN-000177,2025-06-02,,Activa,Prepago,false,false,false,11691.00,
SUB-000178,CLI-000178,PRD-011,LIN-000178,2025-07-01,,Activa,12 meses,false,false,false,29990.00,8
SUB-000179,CLI-000179,PRD-006,LIN-000179,2025-07-30,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000180,CLI-000180,PRD-013,LIN-000180,2025-08-28,,Activa,Sin permanencia,false,false,false,17991.00,22
SUB-000181,CLI-000181,PRD-008,LIN-000181,2025-09-26,,Activa,24 meses,true,true,true,18990.00,1
SUB-000182,CLI-000182,PRD-003,LIN-000182,2025-10-25,,Activa,Prepago,true,false,false,9490.50,
SUB-000183,CLI-000183,PRD-010,LIN-000183,2025-11-23,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000184,CLI-000184,PRD-005,LIN-000184,2025-12-22,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000185,CLI-000185,PRD-012,LIN-000185,2026-01-20,,Activa,24 meses,false,false,true,33240.50,1
SUB-000186,CLI-000186,PRD-007,LIN-000186,2026-02-18,,Activa,12 meses,false,false,true,14391.00,8
SUB-000187,CLI-000187,PRD-002,LIN-000187,2026-03-19,,Activa,Prepago,false,false,false,7990.00,
SUB-000188,CLI-000188,PRD-009,LIN-000188,2026-04-17,,Activa,Sin permanencia,false,false,false,20890.50,22
SUB-000189,CLI-000189,PRD-004,LIN-000189,2026-05-16,,Suspendida,Prepago,false,false,false,11691.00,
SUB-000190,CLI-000190,PRD-015,LIN-000190,2026-06-14,,Activa,12 meses,false,false,false,44990.00,8
SUB-000191,CLI-000191,PRD-006,LIN-000191,2026-07-13,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000191,CLI-000192,PRD-001,LIN-000192,2019-01-20,,Activa,Prepago,true,false,false,5391.00,
SUB-000193,CLI-000193,PRD-008,LIN-000193,2019-02-18,,Activa,24 meses,true,true,true,18990.00,1
SUB-000194,CLI-000194,PRD-003,LIN-000194,2019-03-19,,Activa,Prepago,true,false,false,9490.50,
SUB-000195,CLI-000195,PRD-010,LIN-000195,2019-04-17,,Activa,Sin permanencia,false,false,true,23391.00,15
SUB-000196,CLI-000196,PRD-005,LIN-000196,2019-05-16,,Activa,Sin permanencia,false,false,true,9990.00,22
SUB-000197,CLI-000197,PRD-012,LIN-000197,2019-06-14,,Activa,24 meses,false,false,false,33240.50,1
SUB-000198,CLI-000198,PRD-007,LIN-000198,2019-07-13,,Activa,12 meses,false,false,false,14391.00,8
SUB-000199,CLI-000199,PRD-002,LIN-000199,2019-08-11,,Activa,Prepago,false,false,false,7990.00,
SUB-000200,CLI-000200,PRD-013,LIN-000200,2019-09-09,,Activa,Sin permanencia,false,false,false,18990.50,22
SUB-000201,CLI-000201,PRD-004,LIN-000201,2019-10-08,,Activa,Prepago,true,false,false,11691.00,
SUB-000202,CLI-000202,PRD-011,LIN-000202,2019-11-06,,Activa,12 meses,true,true,true,29990.00,8
SUB-000203,CLI-000203,PRD-006,LIN-000203,2019-12-05,,Activa,Sin permanencia,true,true,true,12340.50,15
SUB-000204,CLI-000204,PRD-001,LIN-000204,2020-01-03,,Activa,Prepago,true,false,false,5391.00,
SUB-000205,CLI-000205,PRD-008,LIN-000205,2020-02-01,,Activa,24 meses,false,false,true,18990.00,1
SUB-000206,CLI-000206,PRD-003,LIN-000206,2020-03-01,,Activa,Prepago,false,false,false,9490.50,
SUB-000207,CLI-000207,PRD-010,LIN-000207,2020-03-30,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000208,CLI-000208,PRD-005,LIN-000208,2020-04-28,,Activa,Sin permanencia,false,false,false,9990.00,22
SUB-000209,CLI-000209,PRD-012,LIN-000209,2020-05-27,,Activa,24 meses,false,false,false,33240.50,1
SUB-000210,CLI-000210,PRD-015,LIN-000210,2020-06-25,,Activa,12 meses,false,false,false,40491.00,8
SUB-000211,CLI-000211,PRD-002,LIN-000211,2020-07-24,,Activa,Prepago,true,false,false,7990.00,
SUB-000212,CLI-000212,PRD-009,LIN-000212,2020-08-22,,Activa,Sin permanencia,true,true,true,20890.50,22
SUB-000213,CLI-000213,PRD-004,LIN-000213,2020-09-20,,Activa,Prepago,true,false,false,11691.00,
SUB-000214,CLI-000214,PRD-011,LIN-000214,2020-10-19,,Activa,12 meses,true,false,true,29990.00,8
SUB-000215,CLI-000215,PRD-006,LIN-000215,2020-11-17,,Activa,Sin permanencia,false,false,true,12340.50,15
SUB-000216,CLI-000216,PRD-001,LIN-000216,2020-12-16,,Activa,Prepago,false,false,false,5391.00,
SUB-000217,CLI-000217,PRD-008,LIN-000217,2021-01-14,,Activa,24 meses,false,false,false,18990.00,1
SUB-000218,CLI-000218,PRD-003,LIN-000218,2021-02-12,,Activa,Prepago,false,false,false,9490.50,
SUB-000219,CLI-000219,PRD-010,LIN-000219,2021-03-13,,Activa,Sin permanencia,false,false,false,23391.00,15
SUB-000220,CLI-000220,PRD-013,LIN-000220,2021-04-11,,Activa,Sin permanencia,false,false,false,19990.00,22
SUB-000221,CLI-000221,PRD-012,LIN-000221,2021-05-10,,Activa,24 meses,true,true,true,33240.50,1
SUB-000222,CLI-000222,PRD-007,LIN-000222,2021-06-08,,Activa,12 meses,true,true,true,14391.00,8
SUB-000223,CLI-000223,PRD-002,LIN-000223,2021-07-07,,Activa,Prepago,true,false,false,7990.00,
SUB-000224,CLI-000224,PRD-009,LIN-000224,2021-08-05,,Activa,Sin permanencia,true,false,true,20890.50,22
SUB-000225,CLI-000225,PRD-004,LIN-000225,2021-09-03,,Activa,Prepago,false,false,false,11691.00,
SUB-000226,CLI-000226,PRD-011,LIN-000226,2021-10-02,,Activa,12 meses,false,false,true,29990.00,8
SUB-000227,CLI-000227,PRD-006,LIN-000227,2021-10-31,,Activa,Sin permanencia,false,false,false,12340.50,15
SUB-000228,CLI-000228,PRD-001,LIN-000228,2021-11-29,,Activa,Prepago,false,false,false,5391.00,
SUB-000229,CLI-000229,PRD-008,LIN-000229,2021-12-28,,Activa,24 meses,false,false,false,18990.00,1
SUB-000230,CLI-000230,PRD-015,LIN-000230,2022-01-26,,Activa,12 meses,false,false,false,42740.50,8
SUB-000231,CLI-000231,PRD-010,LIN-000231,2022-02-24,,Activa,Sin permanencia,true,true,true,23391.00,15
SUB-000232,CLI-000232,PRD-005,LIN-000232,2022-03-25,,Activa,Sin permanencia,true,false,true,9990.00,22
SUB-000233,CLI-000233,PRD-012,LIN-000233,2022-04-23,,Activa,24 meses,true,true,true,33240.50,1
SUB-000234,CLI-999999,PRD-007,LIN-000234,2022-05-22,,Activa,12 meses,true,false,true,14391.00,8
SUB-000235,CLI-000235,PRD-002,LIN-000235,2022-06-20,,Activa,Prepago,false,false,false,7990.00,
SUB-000236,CLI-000236,PRD-009,LIN-000236,2022-07-19,,Suspendida,Sin permanencia,false,false,true,20890.50,22
SUB-000237,CLI-000237,PRD-004,LIN-000237,2022-08-17,,Activa,Prepago,false,false,false,11691.00,
SUB-000238,CLI-000238,PRD-011,LIN-000238,2022-09-15,,Activa,12 meses,false,false,false,29990.00,8
SUB-000239,CLI-000239,PRD-006,LIN-000239,2022-10-14,,Activa,Sin permanencia,false,false,false,12340.50,15
