customer_id,customer_type,customer_segment,region,commune,age_band,created_date,acquisition_channel,preferred_channel,digital_engagement_score,analytics_consent,customer_status
CLI-000054,Persona,Postpago,Los Lagos,Puerto Montt,55+,2023-05-16,Call center,App,21,true,Activo
CLI-000055,Persona,Postpago,La Araucanía,Temuco,18-24,2023-06-22,Distribuidor,App,38,true,Activo
CLI-000056,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2023-07-29,Digital,Tienda,55,true,Activo
CLI-000057,Persona,Prepago,Antofagasta,Calama,25-34,2023-09-04,Digital,Call center,72,true,Activo
CLI-000058,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2023-10-11,Tienda,WhatsApp,89,true,Activo
CLI-000059,Persona,Postpago,Maule,Talca,45-54,2023-11-17,Call center,Web,5,false,Activo
CLI-000060,Empresa,Pyme,Biobío,Talcahuano,,2023-12-24,Distribuidor,App,22,false,Activo
CLI-000061,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2024-01-30,Digital,App,39,true,Activo
CLI-000062,Persona,Prepago,Antofagasta,Antofagasta,25-34,2024-03-07,Digital,Tienda,56,true,Activo
CLI-000063,Persona,Postpago,Valparaíso,Valparaíso,25-34,2024-04-13,Tienda,Call center,73,true,Activo
CLI-000064,Persona,Postpago,Coquimbo,La Serena,35-44,2024-05-20,Call center,WhatsApp,90,true,Activo
CLI-000065,Persona,Postpago,Biobío,Concepción,45-54,2024-06-26,Distribuidor,Web,6,true,Activo
CLI-000066,Persona,Prepago,Los Lagos,Puerto Montt,55+,2024-08-02,Digital,App,23,true,Activo
CLI-000067,Persona,Prepago,La Araucanía,Temuco,18-24,2024-09-08,Digital,App,40,true,Activo
CLI-000068,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2024-10-15,Tienda,Tienda,57,true,Activo
CLI-000069,Persona,Postpago,Antofagasta,Calama,25-34,2024-11-21,Call center,Call center,74,false,Activo
CLI-000070,Empresa,Corporativo,Valparaíso,Viña del Mar,,2024-12-28,Distribuidor,WhatsApp,91,false,Activo
CLI-000071,Persona,Prepago,Maule,Talca,45-54,2025-02-03,Digital,Web,7,true,Activo
CLI-000072,Persona,Prepago,Biobío,Talcahuano,55+,2025-03-12,Digital,App,24,true,Activo
CLI-000073,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2025-04-18,Tienda,App,41,true,Activo
CLI-000074,Persona,Postpago,Antofagasta,Antofagasta,25-34,2025-05-25,Call center,Tienda,58,true,Activo
CLI-000075,Persona,Postpago,Valparaíso,Valparaíso,25-34,2025-07-01,Distribuidor,Call center,75,true,Activo
CLI-000076,Persona,Prepago,Coquimbo,La Serena,35-44,2025-08-07,Digital,WhatsApp,92,true,Activo
CLI-000077,Persona,Prepago,Biobío,Concepción,45-54,2025-09-13,Digital,Web,8,true,Activo
CLI-000078,Persona,Postpago,Los Lagos,Puerto Montt,55+,2025-10-20,Tienda,App,25,true,Activo
CLI-000079,Persona,Postpago,La Araucanía,Temuco,18-24,2025-11-26,Call center,App,42,false,Activo
CLI-000080,Empresa,Pyme,Región Metropolitana de Santiago,Puente Alto,,2026-01-02,Distribuidor,Tienda,59,false,Activo
CLI-000081,Persona,Prepago,Antofagasta,Calama,25-34,2026-02-08,Digital,Call center,76,true,Activo
CLI-000082,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2026-03-17,Digital,WhatsApp,93,true,Activo
CLI-000083,Persona,Postpago,Maule,Talca,45-54,2026-04-23,Tienda,Web,9,true,Activo
CLI-000084,Persona,Postpago,Biobío,Talcahuano,55+,2026-05-30,Call center,App,26,true,Activo
CLI-000085,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2026-07-06,Distribuidor,App,43,true,Activo
CLI-000086,Persona,Prepago,Antofagasta,Antofagasta,25-34,2018-01-16,Digital,Tienda,60,true,Activo
CLI-000087,Persona,Prepago,Valparaíso,Valparaíso,25-34,2018-02-22,Digital,Call center,77,true,Suspendido
CLI-000088,Persona,Postpago,Coquimbo,La Serena,35-44,2018-03-31,Tienda,WhatsApp,94,true,Activo
CLI-000089,Persona,Postpago,Biobío,Concepción,45-54,2018-05-07,Call center,Web,10,false,Activo
CLI-000090,Empresa,Pyme,Los Lagos,Puerto Montt,,2018-06-13,Distribuidor,App,27,false,Activo
CLI-000091,Persona,Prepago,La Araucanía,Temuco,18-24,2018-07-20,Digital,App,44,true,Activo
CLI-000092,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2018-08-26,Digital,Tienda,61,true,Activo
CLI-000093,Persona,Postpago,Antofagasta,Calama,25-34,2018-10-02,Tienda,Call center,78,true,Activo
CLI-000094,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2018-11-08,Call center,WhatsApp,95,true,Activo
CLI-000095,Persona,Postpago,Maule,Talca,45-54,2018-12-15,Distribuidor,Web,11,true,Activo
CLI-000096,Persona,Prepago,Biobío,Talcahuano,55+,2019-01-21,Digital,App,28,true,Activo
CLI-000097,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2019-02-27,Digital,App,45,true,Activo
CLI-000098,Persona,Postpago,Antofagasta,Antofagasta,25-34,2019-04-05,Tienda,Tienda,62,true,Baja
CLI-000099,Persona,Postpago,Valparaíso,Valparaíso,25-34,2019-05-12,Call center,Call center,79,false,Activo
CLI-000100,Empresa,Corporativo,Coquimbo,La Serena,,2019-06-18,Distribuidor,WhatsApp,96,false,Activo
CLI-000101,Persona,Prepago,Biobío,Concepción,45-54,2019-07-25,Digital,Web,12,true,Activo
CLI-000102,Persona,Prepago,Los Lagos,Puerto Montt,55+,2019-08-31,Digital,App,29,true,Activo
CLI-000103,Persona,Postpago,La Araucanía,Temuco,18-24,2019-10-07,Tienda,App,46,true,Activo
CLI-000104,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2019-11-13,Call center,Tienda,63,true,Activo
CLI-000105,Persona,Postpago,Antofagasta,Calama,25-34,2019-12-20,Distribuidor,Call center,80,true,Activo
CLI-000106,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2020-01-26,Digital,WhatsApp,97,true,Activo
CLI-000107,Persona,Prepago,Maule,Talca,45-54,2020-03-03,Digital,Web,13,true,Activo
CLI-000108,Persona,Postpago,Biobío,Talcahuano,55+,2020-04-09,Tienda,App,30,true,Activo
CLI-000109,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2020-05-16,Call center,App,47,false,Activo
CLI-000110,Empresa,Pyme,Antofagasta,Antofagasta,,2020-06-22,Distribuidor,Tienda,64,false,Activo
CLI-000111,Persona,Prepago,Valparaíso,Valparaíso,25-34,2020-07-29,Digital,Call center,81,true,Activo
CLI-000112,Persona,Prepago,Coquimbo,La Serena,35-44,2020-09-04,Digital,WhatsApp,98,true,Activo
CLI-000113,Persona,Postpago,Biobío,Concepción,45-54,2020-10-11,Tienda,Web,14,true,Activo
CLI-000114,Persona,Postpago,Los Lagos,Puerto Montt,55+,2020-11-17,Call center,App,31,true,Activo
CLI-000115,Persona,Postpago,La Araucanía,Temuco,18-24,2020-12-24,Distribuidor,App,48,true,Activo
CLI-000116,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2021-01-30,Digital,Tienda,65,true,Activo
CLI-000117,Persona,Prepago,Antofagasta,Calama,25-34,2021-03-08,Digital,Call center,82,true,Activo
CLI-000118,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2021-04-14,Tienda,WhatsApp,99,true,Activo
CLI-000119,Persona,Postpago,Maule,Talca,45-54,2021-05-21,Call center,Web,15,false,Activo
CLI-000120,Empresa,Pyme,Biobío,Talcahuano,,2021-06-27,Distribuidor,App,32,false,Activo
CLI-000121,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2021-08-03,Digital,App,49,true,Activo
CLI-000122,Persona,Prepago,Antofagasta,Antofagasta,25-34,2021-09-09,Digital,Tienda,66,true,Activo
CLI-000123,Persona,Postpago,Valparaíso,Valparaíso,25-34,2021-10-16,Tienda,Call center,83,true,Activo
CLI-000124,Persona,Postpago,Coquimbo,La Serena,35-44,2021-11-22,Call center,WhatsApp,100,true,Activo
CLI-000125,Persona,Postpago,Biobío,Concepción,45-54,2021-12-29,Distribuidor,Web,16,true,Activo
CLI-000126,Persona,Prepago,Los Lagos,Puerto Montt,55+,2022-02-04,Digital,App,33,true,Activo
CLI-000127,Persona,Prepago,La Araucanía,Temuco,18-24,2022-03-13,Digital,App,50,true,Activo
CLI-000128,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2022-04-19,Tienda,Tienda,67,true,Activo
CLI-000129,Persona,Postpago,Antofagasta,Calama,25-34,2022-05-26,Call center,Call center,84,false,Activo
CLI-000130,Empresa,Corporativo,Valparaíso,Viña del Mar,,2022-07-02,Distribuidor,WhatsApp,0,false,Suspendido
CLI-000131,Persona,Prepago,Maule,Talca,45-54,2022-08-08,Digital,Web,17,true,Activo
CLI-000132,Persona,Prepago,Biobío,Talcahuano,55+,2022-09-14,Digital,App,34,true,Activo
CLI-000133,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2022-10-21,Tienda,App,51,true,Activo
CLI-000134,Persona,Postpago,Antofagasta,Antofagasta,25-34,2022-11-27,Call center,Tienda,68,true,Activo
CLI-000135,Persona,Postpago,Valparaíso,Valparaíso,25-34,2023-01-03,Distribuidor,Call center,85,true,Activo
CLI-000136,Persona,Prepago,Coquimbo,La Serena,35-44,2023-02-09,Digital,WhatsApp,1,true,Activo
CLI-000137,Persona,Prepago,Biobío,Concepción,45-54,2023-03-18,Digital,Web,18,true,Activo
CLI-000138,Persona,Postpago,Los Lagos,Puerto Montt,55+,2023-04-24,Tienda,App,35,true,Activo
CLI-000139,Persona,Postpago,La Araucanía,Temuco,18-24,2023-05-31,Call center,App,52,false,Activo
CLI-000140,Empresa,Pyme,Región Metropolitana de Santiago,Puente Alto,,2023-07-07,Distribuidor,Tienda,69,false,Activo
CLI-000141,Persona,Prepago,Antofagasta,Calama,25-34,2023-08-13,Digital,Call center,86,true,Activo
CLI-000142,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2023-09-19,Digital,WhatsApp,2,true,Activo
CLI-000143,Persona,Postpago,Maule,Talca,45-54,2023-10-26,Tienda,Web,19,true,Activo
CLI-000144,Persona,Postpago,Biobío,Talcahuano,55+,2023-12-02,Call center,App,36,true,Activo
CLI-000145,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2024-01-08,Distribuidor,App,53,true,Activo
CLI-000146,Persona,Prepago,Antofagasta,Antofagasta,25-34,2024-02-14,Digital,Tienda,70,true,Activo
CLI-000147,Persona,Prepago,Valparaíso,Valparaíso,25-34,2024-03-22,Digital,Call center,87,true,Activo
CLI-000148,Persona,Postpago,Coquimbo,La Serena,35-44,2024-04-28,Tienda,WhatsApp,3,true,Activo
CLI-000149,Persona,Postpago,Biobío,Concepción,45-54,2024-06-04,Call center,Web,20,false,Activo
CLI-000150,Empresa,Pyme,Los Lagos,Puerto Montt,,2024-07-11,Distribuidor,App,37,false,Activo
CLI-000151,Persona,Prepago,La Araucanía,Temuco,18-24,2024-08-17,Digital,App,54,true,Activo
CLI-000152,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2024-09-23,Digital,Tienda,71,true,Activo
CLI-000153,Persona,Postpago,Antofagasta,Calama,25-34,2024-10-30,Tienda,Call center,88,true,Activo
CLI-000154,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2024-12-06,Call center,WhatsApp,4,true,Activo
CLI-000155,Persona,Postpago,Maule,Talca,45-54,2025-01-12,Distribuidor,Web,21,true,Activo
CLI-000156,Persona,Prepago,Biobío,Talcahuano,55+,2025-02-18,Digital,App,38,true,Activo
CLI-000157,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2025-03-27,Digital,App,55,true,Activo
CLI-000158,Persona,Postpago,Antofagasta,Antofagasta,25-34,2025-05-03,Tienda,Tienda,72,true,Activo
CLI-000159,Persona,Postpago,Valparaíso,Valparaíso,25-34,2025-06-09,Call center,Call center,89,false,Activo
CLI-000160,Empresa,Corporativo,Coquimbo,La Serena,,2025-07-16,Distribuidor,WhatsApp,5,false,Activo
CLI-000161,Persona,Prepago,Biobío,Concepción,45-54,2025-08-22,Digital,Web,22,true,Activo
CLI-000162,Persona,Prepago,Los Lagos,Puerto Montt,55+,2025-09-28,Digital,App,39,true,Activo
CLI-000163,Persona,Postpago,La Araucanía,Temuco,18-24,2025-11-04,Tienda,App,56,true,Activo
CLI-000164,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2025-12-11,Call center,Tienda,73,true,Activo
CLI-000165,Persona,Postpago,Antofagasta,Calama,25-34,2026-01-17,Distribuidor,Call center,90,true,Activo
CLI-000166,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2026-02-23,Digital,WhatsApp,6,true,Activo
CLI-000167,Persona,Prepago,Maule,Talca,45-54,2026-04-01,Digital,Web,23,true,Activo
CLI-000168,Persona,Postpago,Biobío,Talcahuano,55+,2026-05-08,Tienda,App,40,true,Activo
CLI-000169,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2026-06-14,Call center,App,57,false,Activo
CLI-000170,Empresa,Pyme,Antofagasta,Antofagasta,,2026-07-21,Distribuidor,Tienda,74,false,Activo
CLI-000171,Persona,Prepago,Valparaíso,Valparaíso,25-34,2018-01-31,Digital,Call center,91,true,Activo
CLI-000172,Persona,Prepago,Coquimbo,La Serena,35-44,2018-03-09,Digital,WhatsApp,7,true,Activo
CLI-000173,Persona,Postpago,Biobío,Concepción,45-54,2018-04-15,Tienda,Web,24,true,Suspendido
CLI-000174,Persona,Postpago,Los Lagos,Puerto Montt,55+,2018-05-22,Call center,App,41,true,Activo
CLI-000175,Persona,Postpago,La Araucanía,Temuco,18-24,2018-06-28,Distribuidor,App,58,true,Activo
CLI-000176,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2018-08-04,Digital,Tienda,75,true,Activo
CLI-000177,Persona,Prepago,Antofagasta,Calama,25-34,2018-09-10,Digital,Call center,92,true,Activo
CLI-000178,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2018-10-17,Tienda,WhatsApp,8,true,Activo
CLI-000179,Persona,Postpago,Maule,Talca,45-54,2018-11-23,Call center,Web,25,false,Activo
CLI-000180,Empresa,Pyme,Biobío,Talcahuano,,2018-12-30,Distribuidor,App,42,false,Activo
CLI-000181,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2019-02-05,Digital,App,59,true,Activo
CLI-000182,Persona,Prepago,Antofagasta,Antofagasta,25-34,2019-03-14,Digital,Tienda,76,true,Activo
CLI-000183,Persona,Postpago,Valparaíso,Valparaíso,25-34,2019-04-20,Tienda,Call center,93,true,Activo
CLI-000184,Persona,Postpago,Coquimbo,La Serena,35-44,2019-05-27,Call center,WhatsApp,9,true,Activo
CLI-000185,Persona,Postpago,Biobío,Concepción,45-54,2019-07-03,Distribuidor,Web,26,true,Activo
CLI-000186,Persona,Prepago,Los Lagos,Puerto Montt,55+,2019-08-09,Digital,App,43,true,Activo
CLI-000187,Persona,Prepago,La Araucanía,Temuco,18-24,2019-09-15,Digital,App,60,true,Activo
CLI-000188,Persona,Postpago,Región Metropolitana de Santiago,Puente Alto,25-34,2019-10-22,Tienda,Tienda,77,true,Activo
CLI-000189,Persona,Postpago,Antofagasta,Calama,25-34,2019-11-28,Call center,Call center,94,false,Activo
CLI-000190,Empresa,Corporativo,Valparaíso,Viña del Mar,,2020-01-04,Distribuidor,WhatsApp,10,false,Activo
CLI-000191,Persona,Prepago,Maule,Talca,45-54,2020-02-10,Digital,Web,27,true,Activo
CLI-000192,Persona,Prepago,Biobío,Talcahuano,55+,2020-03-18,Digital,App,44,true,Activo
CLI-000193,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2020-04-24,Tienda,App,61,true,Activo
CLI-000194,Persona,Postpago,Antofagasta,Antofagasta,25-34,2020-05-31,Call center,Tienda,78,true,Activo
CLI-000195,Persona,Postpago,Valparaíso,Valparaíso,25-34,2020-07-07,Distribuidor,Call center,95,true,Baja
CLI-000196,Persona,Prepago,Coquimbo,La Serena,35-44,2020-08-13,Digital,WhatsApp,11,true,Activo
CLI-000197,Persona,Prepago,Biobío,Concepción,45-54,2020-09-19,Digital,Web,28,true,Activo
CLI-000198,Persona,Postpago,Los Lagos,Puerto Montt,55+,2020-10-26,Tienda,App,45,true,Activo
CLI-000199,Persona,Postpago,La Araucanía,Temuco,18-24,2020-12-02,Call center,App,62,false,Activo
CLI-000200,Empresa,Pyme,Región Metropolitana de Santiago,Puente Alto,,2021-01-08,Distribuidor,Tienda,79,false,Activo
CLI-000201,Persona,Prepago,Antofagasta,Calama,25-34,2021-02-14,Digital,Call center,96,true,Activo
CLI-000202,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2021-03-23,Digital,WhatsApp,12,true,Activo
CLI-000203,Persona,Postpago,Maule,Talca,45-54,2021-04-29,Tienda,Web,29,true,Activo
CLI-000204,Persona,Postpago,Biobío,Talcahuano,55+,2021-06-05,Call center,App,46,true,Activo
CLI-000205,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2021-07-12,Distribuidor,App,63,true,Activo
CLI-000206,Persona,Prepago,Antofagasta,Antofagasta,25-34,2021-08-18,Digital,Tienda,80,true,Activo
CLI-000207,Persona,Prepago,Valparaíso,Valparaíso,25-34,2021-09-24,Digital,Call center,97,true,Activo
CLI-000208,Persona,Postpago,Coquimbo,La Serena,35-44,2021-10-31,Tienda,WhatsApp,13,true,Activo
CLI-000209,Persona,Postpago,Biobío,Concepción,45-54,2021-12-07,Call center,Web,30,false,Activo
CLI-000210,Empresa,Pyme,Los Lagos,Puerto Montt,,2022-01-13,Distribuidor,App,47,false,Activo
CLI-000211,Persona,Prepago,La Araucanía,Temuco,18-24,2022-02-19,Digital,App,64,true,Activo
CLI-000211,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2022-03-28,Digital,Tienda,81,true,Activo
CLI-000213,Persona,Postpago,Antofagasta,Calama,25-34,2022-05-04,Tienda,Call center,98,true,Activo
CLI-000214,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2022-06-10,Call center,WhatsApp,14,true,Activo
CLI-000215,Persona,Postpago,Maule,Talca,45-54,2022-07-17,Distribuidor,Web,31,true,Activo
CLI-000216,Persona,Prepago,Biobío,Talcahuano,55+,2022-08-23,Digital,App,48,true,Suspendido
CLI-000217,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2022-09-29,Digital,App,65,true,Activo
CLI-000218,Persona,Postpago,Antofagasta,Antofagasta,25-34,2022-11-05,Tienda,Tienda,82,true,Activo
CLI-000219,Persona,Postpago,Valparaíso,Valparaíso,25-34,2022-12-12,Call center,Call center,99,false,Activo
CLI-000220,Empresa,Corporativo,Coquimbo,La Serena,,2023-01-18,Distribuidor,WhatsApp,15,false,Activo
CLI-000221,Persona,Prepago,Biobío,Concepción,45-54,2023-02-24,Digital,Web,32,true,Activo
CLI-000222,Persona,Prepago,Los Lagos,Puerto Montt,55+,2023-04-02,Digital,App,49,true,Activo
CLI-000223,Persona,Postpago,La Araucanía,Temuco,18-24,2023-05-09,Tienda,App,66,true,Activo
CLI-000224,Persona,,Región Metropolitana de Santiago,Puente Alto,25-34,2023-06-15,Call center,Tienda,83,true,Activo
CLI-000225,Persona,Postpago,Antofagasta,Calama,25-34,2023-07-22,Distribuidor,Call center,100,true,Activo
CLI-000226,Persona,Prepago,Valparaíso,Viña del Mar,35-44,2023-08-28,Digital,WhatsApp,16,true,Activo
CLI-000227,Persona,Prepago,Maule,Talca,45-54,2023-10-04,Digital,Web,33,true,Activo
CLI-000228,Persona,Postpago,Biobío,Talcahuano,55+,2023-11-10,Tienda,App,50,true,Activo
CLI-000229,Persona,Postpago,Región Metropolitana de Santiago,Santiago,18-24,2023-12-17,Call center,App,67,false,Activo
CLI-000230,Empresa,Pyme,Antofagasta,Antofagasta,,2024-01-23,Distribuidor,Tienda,84,false,Activo
CLI-000231,Persona,Prepago,Valparaíso,Valparaíso,25-34,2024-02-29,Digital,Call center,0,true,Activo
CLI-000232,Persona,Prepago,Coquimbo,La Serena,35-44,2024-04-06,Digital,WhatsApp,17,true,Activo
CLI-000233,Persona,Postpago,Biobío,Concepción,45-54,2024-05-13,Tienda,Web,34,true,Activo
CLI-000234,Persona,Postpago,Los Lagos,Puerto Montt,55+,2024-06-19,Call center,App,51,true,Activo
CLI-000235,Persona,Postpago,La Araucanía,Temuco,18-24,2024-07-26,Distribuidor,App,68,true,Activo
CLI-000236,Persona,Prepago,Región Metropolitana de Santiago,Puente Alto,25-34,2024-09-01,Digital,Tienda,85,true,Activo
CLI-000237,Persona,Prepago,Antofagasta,Calama,25-34,2024-10-08,Digital,Call center,1,true,Activo
CLI-000238,Persona,Postpago,Valparaíso,Viña del Mar,35-44,2024-11-14,Tienda,WhatsApp,18,true,Activo
CLI-000239,Persona,Postpago,Maule,Talca,45-54,2024-12-21,Call center,Web,35,false,Activo
CLI-000240,Empresa,Pyme,Biobío,Talcahuano,,2025-01-27,Distribuidor,App,52,false,Activo
CLI-000241,Persona,Prepago,Región Metropolitana de Santiago,Santiago,18-24,2025-03-05,Digital,App,69,true,Activo
CLI-000242,Persona,Prepago,Antofagasta,Antofagasta,25-34,2025-04-11,Digital,Tienda,86,true,Activo
CLI-000243,Persona,Postpago,Valparaíso,Valparaíso,25-34,2025-05-18,Tienda,Call center,2,true,Activo
