alarm_id,cell_id,opened_at,closed_at,alarm_type,severity,alarm_status,probable_cause,service_impact,affected_users_est,source_system
ALM-000047,CEL-00063,2026-08-01 10:06:26,2026-08-02 09:06:26,Hardware,Media,Cerrada,Módulo degradado,false,254,RAN Monitor
ALM-000048,CEL-00080,2026-08-01 10:19:37,,Software,Baja,Reconocida,Error de configuración,false,188,Energy Monitor
ALM-000049,CEL-00097,2026-08-01 10:32:48,,Energía,Crítica,Reconocida,Falla de suministro,true,1092,NMS
ALM-000050,CEL-00114,2026-08-01 10:45:59,,Transporte,Alta,Abierta,Pérdida de enlace,true,441,RAN Monitor
ALM-000051,CEL-00131,2026-08-01 10:59:10,2026-08-01 13:59:10,Radio,Alta,Cerrada,Interferencia,true,470,Energy Monitor
ALM-000052,CEL-00148,2026-08-01 11:12:21,2026-08-02 03:12:21,Saturación,Media,Cerrada,Alta demanda,false,199,NMS
ALM-000053,CEL-00165,2026-08-01 11:25:32,2026-08-02 16:25:32,Hardware,Media,Cerrada,Módulo degradado,false,228,RAN Monitor
ALM-000054,CEL-00002,2026-08-01 11:38:43,2026-08-03 05:38:43,Software,Baja,Cerrada,Error de configuración,false,162,Energy Monitor
ALM-000055,CEL-00019,2026-08-01 11:51:54,2026-08-03 18:51:54,Energía,Crítica,Cerrada,Falla de suministro,true,1066,NMS
ALM-000056,CEL-00036,2026-08-01 12:05:05,2026-08-04 08:05:05,Transporte,Alta,Cerrada,Pérdida de enlace,true,615,RAN Monitor
ALM-000057,CEL-00053,2026-08-01 12:18:16,2026-08-01 21:18:16,Radio,Alta,Cerrada,Interferencia,true,444,Energy Monitor
ALM-000058,CEL-00070,2026-08-01 12:31:27,,Saturación,Media,Reconocida,Alta demanda,false,173,NMS
ALM-000059,CEL-00087,2026-08-01 12:44:38,,Hardware,Media,Reconocida,Módulo degradado,false,202,RAN Monitor
ALM-000060,CEL-00104,2026-08-01 12:57:49,,Software,Baja,Abierta,Error de configuración,false,136,Energy Monitor
ALM-000061,CEL-00121,2026-08-01 13:11:00,2026-08-04 02:11:00,Energía,Crítica,Cerrada,Falla de suministro,true,1040,NMS
ALM-000062,CEL-00138,2026-08-01 13:24:11,2026-08-01 15:24:11,Transporte,Alta,Cerrada,Pérdida de enlace,true,589,RAN Monitor
ALM-000063,CEL-00155,2026-08-01 13:37:22,2026-08-02 04:37:22,Radio,Alta,Cerrada,Interferencia,true,618,Energy Monitor
ALM-000064,CEL-00172,2026-08-01 13:50:33,2026-08-02 17:50:33,Saturación,Media,Cerrada,Alta demanda,true,147,NMS
ALM-000065,CEL-00009,2026-08-01 14:03:44,2026-08-03 07:03:44,Hardware,Media,Cerrada,Módulo degradado,false,176,RAN Monitor
ALM-000066,CEL-00026,2026-08-01 14:16:55,2026-08-03 20:16:55,Software,Baja,Cerrada,Error de configuración,false,110,Energy Monitor
ALM-000067,CEL-00043,2026-08-01 14:30:06,2026-08-04 09:30:06,Energía,Crítica,Cerrada,Falla de suministro,true,1014,NMS
ALM-000068,CEL-00060,2026-08-01 14:43:17,,Transporte,Alta,Reconocida,Pérdida de enlace,true,563,RAN Monitor
ALM-000069,CEL-00077,2026-08-01 14:56:28,,Radio,Alta,Reconocida,Interferencia,true,592,Energy Monitor
ALM-000070,CEL-00094,2026-08-01 15:09:39,,Saturación,Media,Abierta,Alta demanda,false,121,NMS
ALM-000071,CEL-00111,2026-08-01 15:22:50,2026-08-03 14:22:50,Hardware,Media,Cerrada,Módulo degradado,true,150,RAN Monitor
ALM-000072,CEL-00128,2026-08-01 15:36:01,2026-08-04 03:36:01,Software,Baja,Cerrada,Error de configuración,false,84,Energy Monitor
ALM-000073,CEL-00145,2026-08-01 15:49:12,2026-08-01 16:49:12,Energía,Crítica,Cerrada,Falla de suministro,true,988,NMS
ALM-000074,CEL-00162,2026-08-01 16:02:23,2026-08-02 06:02:23,Transporte,Alta,Cerrada,Pérdida de enlace,true,537,RAN Monitor
ALM-000075,CEL-00179,2026-08-01 16:15:34,2026-08-02 19:15:34,Radio,Alta,Cerrada,Interferencia,true,566,Energy Monitor
ALM-000076,CEL-00016,2026-08-01 16:28:45,2026-08-03 08:28:45,Saturación,Media,Cerrada,Alta demanda,false,295,NMS
ALM-000077,CEL-00033,2026-08-01 16:41:56,2026-08-03 21:41:56,Hardware,Media,Cerrada,Módulo degradado,false,124,RAN Monitor
ALM-000078,CEL-00050,2026-08-01 16:55:07,,Software,Baja,Reconocida,Error de configuración,true,58,Energy Monitor
ALM-000079,CEL-00067,2026-08-01 17:08:18,,Energía,Crítica,Reconocida,Falla de suministro,true,962,NMS
ALM-000080,CEL-00084,2026-08-01 17:21:29,,Transporte,Alta,Abierta,Pérdida de enlace,true,511,RAN Monitor
ALM-000081,CEL-00101,2026-08-01 17:34:40,2026-08-03 02:34:40,Radio,Alta,Cerrada,Interferencia,true,540,Energy Monitor
ALM-000082,CEL-00118,2026-08-01 17:47:51,2026-08-03 15:47:51,Saturación,Media,Cerrada,Alta demanda,false,269,NMS
ALM-000083,CEL-00135,2026-08-01 18:01:02,2026-08-04 05:01:02,Hardware,Media,Cerrada,Módulo degradado,false,298,RAN Monitor
ALM-000084,CEL-00152,2026-08-01 18:14:13,2026-08-04 18:14:13,Software,Baja,Cerrada,Error de configuración,false,32,Energy Monitor
ALM-000085,CEL-00169,2026-08-01 18:27:24,2026-08-02 07:27:24,Energía,Crítica,Cerrada,Falla de suministro,true,936,NMS
ALM-000086,CEL-00006,2026-08-01 18:40:35,2026-08-02 20:40:35,Transporte,Alta,Cerrada,Pérdida de enlace,true,485,RAN Monitor
ALM-000087,CEL-00023,2026-08-01 18:53:46,2026-08-03 09:53:46,Radio,Alta,Cerrada,Interferencia,true,514,Energy Monitor
ALM-000088,CEL-00040,2026-08-01 19:06:57,,Saturación,Media,Reconocida,Alta demanda,false,243,NMS
ALM-000089,CEL-00057,2026-08-01 19:20:08,,Hardware,Media,Reconocida,Módulo degradado,false,272,RAN Monitor
ALM-000090,CEL-00074,2026-08-01 19:33:19,,Software,Baja,Abierta,Error de configuración,false,206,Energy Monitor
ALM-000091,CEL-00091,2026-08-01 19:46:30,2026-08-02 14:46:30,Energía,Crítica,Cerrada,Falla de suministro,true,910,NMS
ALM-000092,CEL-00108,2026-08-01 19:59:41,2026-08-03 03:59:41,Transporte,Alta,Cerrada,Pérdida de enlace,true,459,RAN Monitor
ALM-000093,CEL-00125,2026-08-01 20:12:52,2026-08-03 17:12:52,Radio,Alta,Cerrada,Interferencia,true,488,Energy Monitor
ALM-000094,CEL-00142,2026-08-01 20:26:03,2026-08-04 06:26:03,Saturación,Media,Cerrada,Alta demanda,false,217,NMS
ALM-000095,CEL-00159,2026-08-01 20:39:14,2026-08-04 19:39:14,Hardware,Media,Cerrada,Módulo degradado,false,246,RAN Monitor
ALM-000096,CEL-00176,2026-08-01 20:52:25,2026-08-02 08:52:25,Software,Baja,Cerrada,Error de configuración,false,180,Energy Monitor
ALM-000097,CEL-00013,2026-08-01 21:05:36,2026-08-02 22:05:36,Energía,Crítica,Cerrada,Falla de suministro,true,1084,NMS
ALM-000098,CEL-00030,2026-08-01 21:18:47,,Transporte,Alta,Reconocida,Pérdida de enlace,true,433,RAN Monitor
ALM-000099,CEL-00047,2026-08-01 21:31:58,,Radio,Alta,Reconocida,Interferencia,true,462,Energy Monitor
ALM-000100,CEL-00064,2026-08-01 21:45:09,,Saturación,Media,Abierta,Alta demanda,false,191,NMS
ALM-000101,CEL-00081,2026-08-01 21:58:20,2026-08-02 02:58:20,Hardware,Media,Cerrada,Módulo degradado,false,220,RAN Monitor
ALM-000102,CEL-00098,2026-08-01 22:11:31,2026-08-02 16:11:31,Software,Baja,Cerrada,Error de configuración,false,154,Energy Monitor
ALM-000103,CEL-00115,2026-08-01 22:24:42,2026-08-03 05:24:42,Energía,Crítica,Cerrada,Falla de suministro,true,1058,NMS
ALM-000104,CEL-00132,2026-08-01 22:37:53,2026-08-03 18:37:53,Transporte,Alta,Cerrada,Pérdida de enlace,true,607,RAN Monitor
ALM-000105,CEL-00149,2026-08-01 22:51:04,2026-08-04 07:51:04,Radio,Alta,Cerrada,Interferencia,true,436,Energy Monitor
ALM-000106,CEL-00166,2026-08-01 23:04:15,2026-08-04 21:04:15,Saturación,Media,Cerrada,Alta demanda,true,165,NMS
ALM-000107,CEL-00003,2026-08-01 23:17:26,2026-08-02 10:17:26,Hardware,Media,Cerrada,Módulo degradado,false,194,RAN Monitor
ALM-000108,CEL-00020,2026-08-01 23:30:37,,Software,Baja,Reconocida,Error de configuración,false,128,Energy Monitor
ALM-000109,CEL-00037,2026-08-01 23:43:48,,Energía,Crítica,Reconocida,Falla de suministro,true,1032,NMS
ALM-000110,CEL-00054,2026-08-01 23:56:59,,Transporte,Alta,Abierta,Pérdida de enlace,true,581,RAN Monitor
ALM-000111,CEL-00071,2026-08-02 00:10:10,2026-08-04 15:10:10,Radio,Alta,Cerrada,Interferencia,true,610,Energy Monitor
ALM-000112,CEL-00088,2026-08-02 00:23:21,2026-08-02 04:23:21,Saturación,Media,Cerrada,Alta demanda,false,139,NMS
ALM-000113,CEL-00105,2026-08-02 00:36:32,2026-08-02 17:36:32,Hardware,Media,Cerrada,Módulo degradado,true,168,RAN Monitor
ALM-000114,CEL-00122,2026-08-02 00:49:43,2026-08-03 06:49:43,Software,Baja,Cerrada,Error de configuración,false,102,Energy Monitor
ALM-000115,CEL-00139,2026-08-02 01:02:54,2026-08-03 20:02:54,Energía,Crítica,Cerrada,Falla de suministro,true,1006,NMS
ALM-000116,CEL-00156,2026-08-02 01:16:05,2026-08-04 09:16:05,Transporte,Alta,Cerrada,Pérdida de enlace,true,555,RAN Monitor
ALM-000117,CEL-00173,2026-08-02 01:29:16,2026-08-04 22:29:16,Radio,Alta,Cerrada,Interferencia,true,584,Energy Monitor
ALM-000118,CEL-00010,2026-08-02 01:42:27,,Saturación,Media,Reconocida,Alta demanda,false,313,NMS
ALM-000119,CEL-00027,2026-08-02 01:55:38,,Hardware,Media,Reconocida,Módulo degradado,false,142,RAN Monitor
ALM-000120,CEL-00044,2026-08-02 02:08:49,,Software,Baja,Abierta,Error de configuración,true,76,Energy Monitor
ALM-000121,CEL-00061,2026-08-02 02:22:00,2026-08-04 03:22:00,Energía,Crítica,Cerrada,Falla de suministro,true,980,NMS
ALM-000122,CEL-00078,2026-08-02 02:35:11,2026-08-04 16:35:11,Transporte,Alta,Cerrada,Pérdida de enlace,true,529,RAN Monitor
ALM-000123,CEL-00095,2026-08-02 02:48:22,2026-08-02 05:48:22,Radio,Alta,Cerrada,Interferencia,true,558,Energy Monitor
ALM-000124,CEL-00112,2026-08-02 03:01:33,2026-08-02 19:01:33,Saturación,Media,Cerrada,Alta demanda,false,287,NMS
ALM-000125,CEL-00129,2026-08-02 03:14:44,2026-08-03 08:14:44,Hardware,Media,Cerrada,Módulo degradado,false,316,RAN Monitor
ALM-000126,CEL-00146,2026-08-02 03:27:55,2026-08-03 21:27:55,Software,Baja,Cerrada,Error de configuración,false,50,Energy Monitor
ALM-000127,CEL-00163,2026-08-02 03:41:06,2026-08-04 10:41:06,Energía,Crítica,Cerrada,Falla de suministro,true,954,NMS
ALM-000128,CEL-00180,2026-08-02 03:54:17,,Transporte,Alta,Reconocida,Pérdida de enlace,true,503,RAN Monitor
ALM-000129,CEL-00017,2026-08-02 04:07:28,,Radio,Alta,Reconocida,Interferencia,true,532,Energy Monitor
ALM-000130,CEL-00034,2026-08-02 04:20:39,,Saturación,Media,Abierta,Alta demanda,false,261,NMS
ALM-000131,CEL-00051,2026-08-02 04:33:50,2026-08-03 15:33:50,Hardware,Media,Cerrada,Módulo degradado,false,290,RAN Monitor
ALM-000132,CEL-00068,2026-08-02 04:47:01,2026-08-04 04:47:01,Software,Baja,Cerrada,Error de configuración,false,224,Energy Monitor
ALM-000133,CEL-00085,2026-08-02 05:00:12,2026-08-04 18:00:12,Energía,Crítica,Cerrada,Falla de suministro,true,928,NMS
ALM-000134,CEL-00102,2026-08-02 05:13:23,2026-08-02 07:13:23,Transporte,Alta,Cerrada,Pérdida de enlace,true,477,RAN Monitor
ALM-000135,CEL-00119,2026-08-02 05:26:34,2026-08-02 20:26:34,Radio,Alta,Cerrada,Interferencia,true,506,Energy Monitor
ALM-000136,CEL-00136,2026-08-02 05:39:45,2026-08-03 09:39:45,Saturación,Media,Cerrada,Alta demanda,false,235,NMS
ALM-000137,CEL-00153,2026-08-02 05:52:56,2026-08-03 22:52:56,Hardware,Media,Cerrada,Módulo degradado,false,264,RAN Monitor
ALM-000138,CEL-00170,2026-08-02 06:06:07,,Software,Baja,Reconocida,Error de configuración,false,198,Energy Monitor
ALM-000139,CEL-00007,2026-08-02 06:19:18,,Energía,Crítica,Reconocida,Falla de suministro,true,902,NMS
ALM-000140,CEL-00024,2026-08-02 06:32:29,,Transporte,Alta,Abierta,Pérdida de enlace,true,451,RAN Monitor
ALM-000141,CEL-00041,2026-08-02 06:45:40,2026-08-03 03:45:40,Radio,Alta,Cerrada,Interferencia,true,480,Energy Monitor
ALM-000142,CEL-00058,2026-08-02 06:58:51,2026-08-03 16:58:51,Saturación,Media,Cerrada,Alta demanda,false,209,NMS
ALM-000143,CEL-00075,2026-08-02 07:12:02,2026-08-04 06:12:02,Hardware,Media,Cerrada,Módulo degradado,false,238,RAN Monitor
ALM-000144,CEL-00092,2026-08-02 07:25:13,2026-08-04 19:25:13,Software,Baja,Cerrada,Error de configuración,false,172,Energy Monitor
ALM-000145,CEL-00109,2026-08-02 07:38:24,2026-08-02 08:38:24,Energía,Crítica,Cerrada,Falla de suministro,true,1076,NMS
ALM-000146,CEL-00126,2026-08-02 07:51:35,2026-08-02 21:51:35,Transporte,Alta,Cerrada,Pérdida de enlace,true,425,RAN Monitor
ALM-000147,CEL-00143,2026-08-02 08:04:46,2026-08-03 11:04:46,Radio,Alta,Cerrada,Interferencia,true,454,Energy Monitor
ALM-000148,CEL-00160,2026-08-02 08:17:57,,Saturación,Media,Reconocida,Alta demanda,true,183,NMS
ALM-000149,CEL-00177,2026-08-02 08:31:08,,Hardware,Media,Reconocida,Módulo degradado,false,212,RAN Monitor
ALM-000150,CEL-00014,2026-08-02 08:44:19,,Software,Baja,Abierta,Error de configuración,false,146,Energy Monitor
ALM-000151,CEL-00031,2026-08-02 08:57:30,2026-08-02 15:57:30,Energía,Crítica,Cerrada,Falla de suministro,true,1050,NMS
ALM-000152,CEL-00048,2026-08-02 09:10:41,2026-08-03 05:10:41,Transporte,Alta,Cerrada,Pérdida de enlace,true,599,RAN Monitor
ALM-000153,CEL-00065,2026-08-02 09:23:52,2026-08-03 18:23:52,Radio,Alta,Cerrada,Interferencia,true,428,Energy Monitor
ALM-000154,CEL-00082,2026-08-02 09:37:03,2026-08-04 07:37:03,Saturación,Media,Cerrada,Alta demanda,false,157,NMS
ALM-000155,CEL-00099,2026-08-02 09:50:14,2026-08-04 20:50:14,Hardware,Media,Cerrada,Módulo degradado,true,186,RAN Monitor
ALM-000156,CEL-00116,2026-08-02 10:03:25,2026-08-05 10:03:25,Software,Baja,Cerrada,Error de configuración,false,120,Energy Monitor
ALM-000157,CEL-00133,2026-08-02 10:16:36,2026-08-02 23:16:36,Energía,Crítica,Cerrada,Falla de suministro,true,1024,NMS
ALM-000158,CEL-99999,2026-08-02 10:29:47,,Transporte,Alta,Reconocida,Pérdida de enlace,true,573,RAN Monitor
ALM-000159,CEL-00167,2026-08-02 10:42:58,,Radio,Alta,Reconocida,Interferencia,true,602,Energy Monitor
ALM-000160,CEL-00004,2026-08-02 10:56:09,,Saturación,Media,Abierta,Alta demanda,false,131,NMS
ALM-000161,CEL-00021,2026-08-02 11:09:20,2026-08-05 04:09:20,Hardware,Media,Cerrada,Módulo degradado,false,160,RAN Monitor
ALM-000162,CEL-00038,2026-08-02 11:22:31,2026-08-02 17:22:31,Software,Baja,Cerrada,Error de configuración,true,94,Energy Monitor
ALM-000163,CEL-00055,2026-08-02 11:35:42,2026-08-03 06:35:42,Energía,Crítica,Cerrada,Falla de suministro,true,998,NMS
ALM-000164,CEL-00072,2026-08-02 11:48:53,2026-08-03 19:48:53,Transporte,Alta,Cerrada,Pérdida de enlace,true,547,RAN Monitor
ALM-000165,CEL-00089,2026-08-02 12:02:04,2026-08-04 09:02:04,Radio,Alta,Cerrada,Interferencia,true,576,Energy Monitor
ALM-000166,CEL-00106,2026-08-02 12:15:15,2026-08-04 22:15:15,Saturación,Media,Cerrada,Alta demanda,false,305,NMS
ALM-000167,CEL-00123,2026-08-02 12:28:26,2026-08-05 11:28:26,Hardware,Media,Cerrada,Módulo degradado,false,134,RAN Monitor
ALM-000168,CEL-00140,2026-08-02 12:41:37,,Software,Baja,Reconocida,Error de configuración,false,68,Energy Monitor
ALM-000169,CEL-00157,2026-08-02 12:54:48,,Energía,Crítica,Reconocida,Falla de suministro,true,972,NMS
ALM-000170,CEL-00174,2026-08-02 13:07:59,,Transporte,Alta,Abierta,Pérdida de enlace,true,521,RAN Monitor
ALM-000171,CEL-00011,2026-08-02 13:21:10,2026-08-04 16:21:10,Radio,Alta,Cerrada,Interferencia,true,550,Energy Monitor
ALM-000172,CEL-00028,2026-08-02 13:34:21,2026-08-05 05:34:21,Saturación,Media,Cerrada,Alta demanda,false,279,NMS
ALM-000173,CEL-00045,2026-08-02 13:47:32,2026-08-02 18:47:32,Hardware,Media,Cerrada,Módulo degradado,false,308,RAN Monitor
ALM-000174,CEL-00062,2026-08-02 14:00:43,2026-08-03 08:00:43,Software,Baja,Cerrada,Error de configuración,false,42,Energy Monitor
ALM-000175,CEL-00079,2026-08-02 14:13:54,2026-08-03 21:13:54,Energía,Crítica,Cerrada,Falla de suministro,true,946,NMS
ALM-000176,CEL-00096,2026-08-02 14:27:05,2026-08-04 10:27:05,Transporte,Alta,Cerrada,Pérdida de enlace,true,495,RAN Monitor
ALM-000177,CEL-00113,2026-08-02 14:40:16,2026-08-04 23:40:16,Radio,Alta,Cerrada,Interferencia,true,524,Energy Monitor
ALM-000178,CEL-00130,2026-08-02 14:53:27,,Saturación,Media,Reconocida,Alta demanda,false,253,NMS
ALM-000179,CEL-00147,2026-08-02 15:06:38,,Hardware,Media,Reconocida,Módulo degradado,false,282,RAN Monitor
ALM-000180,CEL-00164,2026-08-02 15:19:49,,Software,Baja,Abierta,Error de configuración,false,216,Energy Monitor
ALM-000181,CEL-00001,2026-08-02 15:33:00,2026-08-04 04:33:00,Energía,Crítica,Cerrada,Falla de suministro,true,920,NMS
ALM-000182,CEL-00018,2026-08-02 15:46:11,2026-08-04 17:46:11,Transporte,Alta,Cerrada,Pérdida de enlace,true,469,RAN Monitor
ALM-000183,CEL-00035,2026-08-02 15:59:22,2026-08-05 06:59:22,Radio,Alta,Cerrada,Interferencia,true,498,Energy Monitor
ALM-000184,CEL-00052,2026-08-02 16:12:33,2026-08-02 20:12:33,Saturación,Media,Cerrada,Alta demanda,false,227,NMS
ALM-000185,CEL-00069,2026-08-02 16:25:44,2026-08-03 09:25:44,Hardware,Media,Cerrada,Módulo degradado,false,256,RAN Monitor
ALM-000186,CEL-00086,2026-08-02 16:38:55,2026-08-03 22:38:55,Software,Baja,Cerrada,Error de configuración,false,190,Energy Monitor
ALM-000187,CEL-00103,2026-08-02 16:52:06,2026-08-04 11:52:06,Energía,Crítica,Cerrada,Falla de suministro,true,1094,NMS
ALM-000188,CEL-00120,2026-08-02 17:05:17,,Transporte,Alta,Reconocida,Pérdida de enlace,true,443,RAN Monitor
ALM-000189,CEL-00137,2026-08-02 17:18:28,,Radio,Alta,Reconocida,Interferencia,true,472,Energy Monitor
ALM-000190,CEL-00154,2026-08-02 17:31:39,,Saturación,Media,Abierta,Alta demanda,true,201,NMS
ALM-000191,CEL-00171,2026-08-02 17:44:50,2026-08-03 16:44:50,Hardware,Media,Cerrada,Módulo degradado,false,230,RAN Monitor
ALM-000192,CEL-00008,2026-08-02 17:58:01,2026-08-04 05:58:01,Software,Baja,Cerrada,Error de configuración,false,164,Energy Monitor
ALM-000193,CEL-00025,2026-08-02 18:11:12,2026-08-04 19:11:12,Energía,Crítica,Cerrada,Falla de suministro,true,1068,NMS
ALM-000194,CEL-00042,2026-08-02 18:24:23,2026-08-05 08:24:23,Transporte,Alta,Cerrada,Pérdida de enlace,true,617,RAN Monitor
ALM-000195,CEL-00059,2026-08-02 18:37:34,2026-08-02 21:37:34,Radio,Alta,Cerrada,Interferencia,true,446,Energy Monitor
ALM-000196,CEL-00076,2026-08-02 18:50:45,2026-08-03 10:50:45,Saturación,Media,Cerrada,Alta demanda,false,175,NMS
ALM-000197,CEL-00093,2026-08-02 19:03:56,2026-08-04 00:03:56,Hardware,Media,Cerrada,Módulo degradado,true,204,RAN Monitor
ALM-000198,CEL-00110,2026-08-02 19:17:07,,Software,Baja,Reconocida,Error de configuración,false,138,Energy Monitor
ALM-000199,CEL-00127,2026-08-02 19:30:18,,Energía,Crítica,Reconocida,Falla de suministro,true,1042,NMS
ALM-000200,CEL-00144,2026-08-02 19:43:29,2026-08-02 17:43:29,Transporte,Alta,Abierta,Pérdida de enlace,true,591,RAN Monitor
ALM-000201,CEL-00161,2026-08-02 19:56:40,2026-08-03 04:56:40,Radio,Alta,Cerrada,Interferencia,true,420,Energy Monitor
